Sample ID,Analyte Name,Reported Conc (Samp)
Comp. Cabeza Columna,Cu 324.75,1.365
Cabeza puntual retorno,Cu 324.75,1.441
Celda #(F1+F2),Cu 324.75,1.577
Puntual Noroeste,Cu 324.75,1.952
Tubo 3,Cu 324.75,3.341
Comp. Cola Columna,Cu 324.75,0.758
Barren,Cu 324.75,0.832
Celda # 11-A,Cu 324.75,0.053
Celda # 11-B,Cu 324.75,0.071
Celda # 11-C,Cu 324.75,0.034
Celda #5-9,Cu 324.75,0.105
NE Tubo 1,Cu 324.75,6.524
NE Tubo 2,Cu 324.75,0.220
NE Tubo 4,Cu 324.75,0.023
NE Tubo 5,Cu 324.75,0.026
NE Tubo 6,Cu 324.75,0.017
NE Tubo 7,Cu 324.75,4.523
Barren Patios,Cu 324.75,0.857
Especial 1,Cu 324.75,0.084
Especial 2,Cu 324.75,0.349
Especial 3,Cu 324.75,0.128
Especial 4,Cu 324.75,0.082
Especial 5,Cu 324.75,0.072
Columna #1,Cu 324.75,1.219
Columna #2,Cu 324.75,1.060
Columna #3,Cu 324.75,0.987
Columna #4,Cu 324.75,0.877
Columna #5,Cu 324.75,0.834
