1,PATRON,,1,1,1,1,1
2,BLANCO,,1,1,1,1,1
3,BLANCO REACTIVO,,1,1,1,1,1
4,EC000001-022,0.068,30,1,7,1,1
5,EC000001-023,0.147,30,1,7,1,1
6,EC000001-024,0.092,30,1,7,1,1
7,EC000001-025,0.156,30,1,7,1,1
8,EC000001-026,0.197,30,1,7,1,1
9,EC000001-027,0.157,30,1,7,1,1
10,EC000001-028,0.132,30,1,7,1,1
11,EC000001-030,0.1,30,1,7,1,1
12,EC000001-032,0.114,30,1,7,1,1
13,EC000001-033,0.081,30,1,7,1,1
14,PATRON,,1,1,1,1,1
15,BLANCO,,1,1,1,1,1
16,BLANCO REACTIVO,,1,1,1,1,1
17,EC000001-034,0.084,30,1,7,1,1
18,EC000001-035,0.067,30,1,7,1,1
19,EC000001-036,0.143,30,1,7,1,1
20,EC000001-037,0.165,20,1,7,1,1
21,EC000001-038,0.143,30,1,7,1,1
22,EC000001-039,0.153,30,1,7,1,1
23,EC000001-040,0.29,30,1,7,1,1
24,EC000001-041,0.4,30,1,7,1,1
25,EC000001-044,0.156,30,1,7,1,1
26,EC000001-045,0.28,30,1,7,1,1
27,PATRON,,1,1,1,1,1
28,BLANCO,,1,1,1,1,1
29,BLANCO REACTIVO,,1,1,1,1,1
30,EC000001-046,0.646,30,1,7,1,1
31,EC000002-008,0.117,30,1,7,1,1
32,EC000002-010,0.114,30,1,7,1,1
33,EC000002-011,0.08,30,1,7,1,1
34,EC000002-012,0.092,30,1,7,1,1
35,EC000002-013,0.24,30,1,7,1,1
36,EC000002-014,0.108,30,1,7,1,1
37,EC000002-016,0.061,30,1,7,1,1
38,EC000002-017,0.021,30,1,7,1,1
39,PATRON,,1,1,1,1,1
40,BLANCO,,1,1,1,1,1
41,BLANCO REACTIVO,,1,1,1,1,1
