Analyst,,,,,
Date Started,9/11/2024 11:11 AM  GMT: 9/11/2024 6:11 PM,,,,
Worksheet,EXP000002_24,,,,
Comment,,,,,
Methods,"Au,Au",,,,
,,,,,
Method: Au (Flame),,,,,
,,,,,
9/11/2024,11:22:50 AM,REAGENT BLANK,0,,mg/L
9/11/2024,11:35:20 AM,BLANCO,0.0844,,mg/L
9/11/2024,11:35:58 AM,EXP00000-001,0.265,,mg/L
9/11/2024,11:36:16 AM,EXP00000-002,0.3605,,mg/L
9/11/2024,11:36:32 AM,EXP00000-003,0.3248,,mg/L
9/11/2024,11:36:52 AM,EXP00000-004,0.1256,,mg/L
9/11/2024,11:37:04 AM,EXP00000-005,OVER,R,mg/L
9/11/2024,11:38:04 AM,PATRON,0.9008,,mg/L
9/11/2024,11:39:18 AM,EXP00000-009,0.3247,,mg/L
9/11/2024,11:39:34 AM,EXP00000-010,0.3942,,mg/L
9/11/2024,11:39:50 AM,EXP00000-011,0.6279,,mg/L
9/11/2024,11:40:08 AM,EXP00000-012,0.1252,,mg/L
9/11/2024,11:40:30 AM,PATRON,0.9251,,mg/L
9/11/2024,11:41:00 AM,EXP00000-014,0.1061,,mg/L
9/11/2024,11:41:16 AM,EXP00000-015,0.0309,,mg/L
9/11/2024,11:41:34 AM,EXP00000-016,0.143,,mg/L
9/11/2024,11:41:50 AM,EXP00000-017,0.3641,,mg/L
9/11/2024,11:42:08 AM,EXP00000-018,0.2798,,mg/L
9/11/2024,11:56:16 AM,PATRON,0.9097,,mg/L
9/11/2024,11:56:50 AM,EXP00000-020,0.2078,,mg/L
9/11/2024,11:57:16 AM,EXP00000-022,0.9868,,mg/L
9/11/2024,11:57:40 AM,PATRON,0.899,,mg/L
9/11/2024,11:57:54 AM,BLANCO,0.0157,,mg/L
9/11/2024,11:58:04 AM,REAGENT BLANK,0,,mg/L
9/11/2024,11:58:30 AM,EXP00000-019,0.0161,,mg/L
9/11/2024,11:58:42 AM,EXP00000-021,0.0237,,mg/L
9/11/2024,12:02:06 PM,EXP00000-013,-0.0004,,mg/L
9/11/2024,4:19:18 PM,PATRON,0.9201,,mg/L
9/11/2024,4:19:42 PM,EXP00000-006,0.3,,mg/L
9/11/2024,4:19:52 PM,EXP00000-007,0.3073,,mg/L
9/11/2024,4:20:10 PM,EXP00000-008,0.0888,,mg/L
,,,,,
Method: Au AU ALTO (Flame),,,,,
,,,,,
,,,,,
9/11/2024,12:06:04 PM,EXP00000-005,6.657,,mg/L
