Analyst,,,,,
Date Started,9/12/2024 1:28 PM  GMT: 9/12/2024 8:28 PM,,,,
Worksheet,EXP000008_24,,,,
Comment,,,,,
Methods,"Au,Au",,,,
,,,,,
Method: Au (Flame),,,,,
,,,,,
9/12/2024,1:33:28 PM,PATRON,0.8733,,mg/L
9/12/2024,1:33:50 PM,BLANCO,0.004,,mg/L
9/12/2024,1:34:02 PM,REAGENT BLANK,0,,mg/L
9/12/2024,1:34:26 PM,EXP00000-001,0.117,,mg/L
9/12/2024,1:34:42 PM,EXP00000-002,0.2596,,mg/L
9/12/2024,1:34:58 PM,EXP00000-003,0.0102,,mg/L
9/12/2024,1:35:14 PM,EXP00000-004,0.0106,,mg/L
9/12/2024,1:35:32 PM,EXP00000-005,0.1409,,mg/L
9/12/2024,1:35:52 PM,EXP00000-006,0.0429,,mg/L
9/12/2024,1:40:14 PM,EXP00000-007,0.1317,,mg/L
9/12/2024,1:40:28 PM,EXP00000-008,0.0852,,mg/L
9/12/2024,1:41:18 PM,EXP00000-011,0.0419,,mg/L
9/12/2024,1:41:36 PM,EXP00000-012,0.0259,,mg/L
9/12/2024,1:41:56 PM,PATRON,0.9106,,mg/L
9/12/2024,1:42:12 PM,EXP00000-013,0.0269,,mg/L
9/12/2024,1:42:28 PM,EXP00000-014,0.0159,,mg/L
9/12/2024,1:42:46 PM,EXP00000-015,0.056,,mg/L
9/12/2024,1:43:00 PM,EXP00000-016,0.2202,,mg/L
9/12/2024,1:43:18 PM,EXP00000-017,0.1934,,mg/L
9/12/2024,1:43:34 PM,EXP00000-018,0.979,,mg/L
9/12/2024,1:43:52 PM,PATRON,0.873,,mg/L
9/12/2024,1:44:08 PM,EXP00000-019,0.4341,,mg/L
9/12/2024,1:44:26 PM,PATRON,0.879,,mg/L
9/12/2024,1:44:46 PM,BLANCO,0.0503,,mg/L
9/12/2024,1:44:56 PM,REAGENT BLANK,0,,mg/L
9/12/2024,2:09:32 PM,PATRON,0.9114,,mg/L
9/12/2024,2:12:24 PM,EXP00000-009,0.1342,,mg/L
9/12/2024,2:12:36 PM,EXP00000-010,0.0681,,mg/L
