Analyst,,,,,
Date Started,9/14/2024 3:32 PM  GMT: 9/14/2024 10:32 PM,,,,
Worksheet,EXP000026-RE_24,,,,
Comment,,,,,
Methods,"Au,Au",,,,
,,,,,
Method: Au (Flame),,,,,
,,,,,
9/14/2024,3:49:28 PM,PATRON,0.8858,,mg/L
9/14/2024,3:49:48 PM,BLANCO,-0.0368,,mg/L
9/14/2024,3:50:00 PM,REAGENT BLANK,0,,mg/L
9/14/2024,3:50:16 PM,EXP00000-007,0.176,,mg/L
9/14/2024,3:50:30 PM,EXP00000-008,0.0086,,mg/L
9/14/2024,3:51:14 PM,EXP00000-011,0.0267,,mg/L
9/14/2024,3:51:26 PM,EXP00000-012,-0.0004,,mg/L
9/14/2024,3:52:58 PM,EXP00000-013,0.0155,,mg/L
9/14/2024,3:53:28 PM,BLANCO,0.0207,,mg/L
9/14/2024,3:54:04 PM,REAGENT BLANK,0,,mg/L
9/14/2024,3:54:46 PM,EXP00000-009,0.0567,,mg/L
9/14/2024,5:14:16 PM,EXP00000-010,0.0593,,mg/L
9/14/2024,5:17:04 PM,PATRON,0.8977,,mg/L
9/14/2024,5:17:14 PM,PATRON,0.8988,,mg/L
,,,,,
,,,,,
