Analyst,,,,,
Date Started,9/19/2024 5:07 PM  GMT: 9/20/2024 12:07 AM,,,,
Worksheet,EXP000050_24,,,,
Comment,,,,,
Methods,"Au,Au",,,,
,,,,,
Method: Au (Flame),,,,,
,,,,,
9/19/2024,5:17:16 PM,PATRON,0.915,,mg/L
9/19/2024,5:17:36 PM,BLANCO,0.0096,,mg/L
9/19/2024,5:17:48 PM,REAGENT BLANK,0,,mg/L
9/19/2024,5:18:08 PM,EXP000050-001,0.1351,,mg/L
9/19/2024,5:18:24 PM,EXP000050-002,0.0599,,mg/L
9/19/2024,5:18:42 PM,EXP000050-003,-0.0137,,mg/L
9/19/2024,5:18:54 PM,EXP000050-004,0.0282,,mg/L
9/19/2024,5:19:08 PM,EXP000050-005,0.0699,,mg/L
9/19/2024,5:19:22 PM,EXP000050-006,0.3277,,mg/L
9/19/2024,5:21:36 PM,PATRON,0.9239,,mg/L
9/19/2024,5:22:08 PM,EXP000050-007,1.4194,,mg/L
9/19/2024,5:22:24 PM,EXP000050-008,0.1007,,mg/L
9/19/2024,5:22:42 PM,EXP000050-009,0.0757,,mg/L
9/19/2024,5:22:54 PM,EXP000050-010,0.4747,,mg/L
9/19/2024,5:23:12 PM,EXP000050-011,0.0498,,mg/L
9/19/2024,5:23:26 PM,EXP000050-012,-0.002,,mg/L
9/19/2024,5:30:36 PM,PATRON,0.9125,,mg/L
9/19/2024,5:31:00 PM,EXP000050-013,0.0415,,mg/L
9/19/2024,5:31:14 PM,EXP000050-014,0.4357,,mg/L
9/19/2024,5:31:30 PM,EXP000050-015,0.0449,,mg/L
9/19/2024,5:31:44 PM,EXP000050-016,0.055,,mg/L
9/19/2024,5:31:56 PM,EXP000050-017,0.0199,,mg/L
9/19/2024,5:32:08 PM,EXP000050-018,0.0631,,mg/L
9/19/2024,5:33:28 PM,PATRON,0.8902,,mg/L
9/19/2024,5:33:46 PM,EXP000050-019,0.2757,,mg/L
9/19/2024,5:34:02 PM,EXP000050-020,0.1033,,mg/L
9/19/2024,5:34:18 PM,EXP000050-021,0.4854,,mg/L
9/19/2024,5:34:34 PM,EXP000050-022,0.0749,,mg/L
9/19/2024,5:36:04 PM,PATRON,0.8865,,mg/L
9/19/2024,5:36:20 PM,BLANCO,0.024,,mg/L
9/19/2024,5:36:30 PM,REAGENT BLANK,0,,mg/L
9/19/2024,5:37:08 PM,EXP000050-023,0.0065,,mg/L
9/19/2024,5:37:20 PM,EXP000050-024,-0.0127,,mg/L
,,,,,
