Analyst,,,,,
Date Started,9/19/2024 5:09 PM  GMT: 9/20/2024 12:09 AM,,,,
Worksheet,EXP000055-RCK_24,,,,
Comment,,,,,
Methods,"Au,Au",,,,
,,,,,
Method: Au (Flame),,,,,
,,,,,
9/19/2024,5:43:06 PM,PATRON,0.9175,,mg/L
9/19/2024,5:43:24 PM,BLANCO,0.0039,,mg/L
9/19/2024,5:43:36 PM,REAGENT BLANK,0,,mg/L
9/19/2024,5:43:48 PM,EXP00005-001,0.0871,,mg/L
9/19/2024,5:44:00 PM,EXP00005-002,1.2614,,mg/L
9/19/2024,5:44:16 PM,EXP00005-003,0.0104,,mg/L
9/19/2024,5:44:26 PM,EXP00005-004,OVER,R,mg/L
9/19/2024,5:44:38 PM,EXP00005-005,OVER,R,mg/L
9/19/2024,5:46:48 PM,PATRON,0.8963,,mg/L
9/19/2024,5:47:02 PM,EXP00005-007,OVER,R,mg/L
9/19/2024,5:47:18 PM,EXP00005-008,1.5538,,mg/L
9/19/2024,5:47:34 PM,EXP00005-009,0.0153,,mg/L
9/19/2024,5:48:06 PM,PATRON,0.9084,,mg/L
9/19/2024,5:48:22 PM,BLANCO,0.0213,,mg/L
9/19/2024,5:48:30 PM,REAGENT BLANK,0,,mg/L
9/19/2024,5:49:26 PM,EXP00005-006,-0.0094,,mg/L
9/19/2024,5:49:40 PM,EXP00005-010,0.1213,,mg/L
,,,,,
,,,,,
Method: Au AU ALTO (Flame),,,,,
,,,,,
,,,,,
9/19/2024,5:52:10 PM,EXP00005-004,13.9403,,mg/L
9/19/2024,5:52:26 PM,EXP00005-005,12.9149,,mg/L
9/19/2024,5:52:44 PM,EXP00005-007,1.8406,,mg/L
,,,,,
