Analyst,,,,,
Date Started,9/28/2024 12:38 AM  GMT: 9/28/2024 7:38 AM,,,,
Worksheet,EXP000088_24,,,,
Comment,,,,,
Methods,"Au,Au",,,,
,,,,,
Method: Au (Flame),,,,,
,,,,,
9/28/2024,1:34:00 AM,PATRON,0.922,,mg/L
9/28/2024,1:34:14 AM,BLANCO,-0.0141,,mg/L
9/28/2024,1:34:24 AM,REAGENT BLANK,0,,mg/L
9/28/2024,1:34:42 AM,EXP000088-001,0.191,,mg/L
9/28/2024,1:34:54 AM,EXP000088-002,0.0074,,mg/L
9/28/2024,1:35:06 AM,EXP000088-003,0.0786,,mg/L
9/28/2024,1:35:18 AM,EXP000088-004,0.0056,,mg/L
9/28/2024,1:36:58 AM,EXP000088-005,0.8757,,mg/L
9/28/2024,1:37:20 AM,EXP000088-006,0.1853,,mg/L
9/28/2024,1:39:52 AM,PATRON,0.8952,,mg/L
9/28/2024,2:21:00 AM,EXP000088-007,0.5895,,mg/L
9/28/2024,2:21:12 AM,EXP000088-008,0.4616,,mg/L
9/28/2024,2:21:26 AM,EXP000088-009,0.0234,,mg/L
9/28/2024,2:21:36 AM,EXP000088-010,0.522,,mg/L
9/28/2024,2:21:48 AM,EXP000088-011,0.3443,,mg/L
9/28/2024,2:22:00 AM,EXP000088-012,0.0557,,mg/L
9/28/2024,2:23:42 AM,PATRON,0.9257,,mg/L
9/28/2024,2:23:56 AM,EXP000088-013,0.0343,,mg/L
9/28/2024,2:24:08 AM,EXP000088-014,0.2454,,mg/L
9/28/2024,2:24:30 AM,EXP000088-016,0.337,,mg/L
9/28/2024,2:24:42 AM,EXP000088-017,0.3106,,mg/L
9/28/2024,2:24:54 AM,EXP000088-018,0.2328,,mg/L
9/28/2024,2:28:00 AM,PATRON,0.9068,,mg/L
9/28/2024,2:28:20 AM,EXP000088-019,0.5657,,mg/L
9/28/2024,2:28:32 AM,EXP000088-020,0.3994,,mg/L
9/28/2024,2:28:44 AM,EXP000088-021,0.7248,,mg/L
9/28/2024,2:28:54 AM,EXP000088-022,0.6612,,mg/L
9/28/2024,2:29:06 AM,EXP000088-023,0.6687,,mg/L
9/28/2024,2:30:12 AM,EXP000088-015,0.0733,,mg/L
9/28/2024,2:30:28 AM,EXP000088-024,0.398,,mg/L
9/28/2024,2:31:30 AM,PATRON,0.9229,,mg/L
,,,,,
