Analyst,,,,,
Date Started,9/28/2024 12:51 PM  GMT: 9/28/2024 7:51 PM,,,,
Worksheet,EXP000106-RCK_24,,,,
Comment,,,,,
Methods,"Au,Au",,,,
,,,,,
Method: Au (Flame),,,,,
,,,,,
9/28/2024,12:56:54 PM,PATRON,0.9194,,mg/L
9/28/2024,12:57:16 PM,BLANCO,-0.0934,,mg/L
9/28/2024,12:57:26 PM,REAGENT BLANK,0,,mg/L
9/28/2024,12:57:42 PM,EXP000106-001,0.2818,,mg/L
9/28/2024,12:57:58 PM,EXP000106-002,0.0873,,mg/L
9/28/2024,12:58:12 PM,EXP000106-003,0.4036,,mg/L
9/28/2024,12:58:28 PM,EXP000106-004,0.1531,,mg/L
9/28/2024,12:58:44 PM,EXP000106-005,0.2545,,mg/L
9/28/2024,12:59:00 PM,EXP000106-006,0.7288,,mg/L
9/28/2024,12:59:18 PM,PATRON,0.912,,mg/L
9/28/2024,1:01:08 PM,EXP000106-007,0.2827,,mg/L
9/28/2024,1:01:28 PM,EXP000106-008,-0.0192,,mg/L
9/28/2024,1:01:40 PM,EXP000106-009,-0.0096,,mg/L
9/28/2024,1:01:54 PM,EXP000106-010,0.405,,mg/L
9/28/2024,1:02:10 PM,EXP000106-011,0.4066,,mg/L
9/28/2024,1:05:28 PM,EXP000106-012,0.0536,,mg/L
9/28/2024,1:05:42 PM,EXP000106-013,0.3226,,mg/L
9/28/2024,1:05:58 PM,EXP000106-014,0.0761,,mg/L
9/28/2024,1:11:08 PM,PATRON,0.9187,,mg/L
9/28/2024,1:12:40 PM,PATRON,0.9065,,mg/L
9/28/2024,1:13:00 PM,EXP000106-015,0.0924,,mg/L
9/28/2024,1:13:22 PM,EXP000106-016,0.3862,,mg/L
9/28/2024,1:14:00 PM,EXP000106-018,0.1346,,mg/L
9/28/2024,1:14:18 PM,EXP000106-019,0.1844,,mg/L
9/28/2024,1:14:30 PM,EXP000106-020,OVER,R,mg/L
9/28/2024,1:14:48 PM,EXP000106-021,0.3893,,mg/L
9/28/2024,1:15:06 PM,EXP000106-022,0.357,,mg/L
9/28/2024,1:15:18 PM,EXP000106-023,OVER,R,mg/L
9/28/2024,1:15:36 PM,EXP000106-024,0.9704,,mg/L
9/28/2024,1:16:02 PM,PATRON,0.897,,mg/L
9/28/2024,1:16:22 PM,BLANCO,0.0036,,mg/L
9/28/2024,1:16:32 PM,REAGENT BLANK,0,,mg/L
9/28/2024,1:16:34 PM,BLANCO REACTIVO REAG,,,mg/L
9/29/2024,1:44:16 AM,EXP000106-017,0.1111,,mg/L
,,,,,
Method: Au AU ALTO (Flame),,,,,
,,,,,
,,,,,
9/28/2024,1:20:32 PM,EXP000106-020,3.723,,mg/L
9/28/2024,1:21:42 PM,EXP000106-023,11.01,,mg/L
