Sample ID	Analyte Name	Reported Conc (Samp)
Comp. Cabeza Columna	Au 242.80	0.098
Comp. Cola Columna	Au 242.80	0.01
Barren	Au 242.80	0.01
Cabeza puntual retorno	Au 242.80	0.099
Columna #1	Au 242.80	0.046
Columna #2	Au 242.80	0.027
Columna #3	Au 242.80	0.019
Columna #4	Au 242.80	0.012
Columna #5	Au 242.80	0.006
Celda # 11-A	Au 242.80	0.068
Celda # 11-B	Au 242.80	0.023
Celda # 11-C	Au 242.80	0.067
Celda #5-9	Au 242.80	0.067
Celda #(F1+F2)	Au 242.80	0.098
NE Tubo 1	Au 242.80	0.019
NE Tubo 2	Au 242.80	0.205
NE Tubo 4	Au 242.80	0.052
NE Tubo 5	Au 242.80	0.048
NE Tubo 6	Au 242.80	0.05
NE Tubo 7	Au 242.80	0.024
Puntual Noroeste	Au 242.80	0.076
Barren Patios	Au 242.80	0.011
Tubo 3	Au 242.80	0.061
Especial 1	Au 242.80	0.089
Especial 2	Au 242.80	0.094
Especial 3	Au 242.80	0.031
Especial 4	Au 242.80	0.035
Especial 5	Au 242.80	0.074
Barren 2	Au 242.80	0.013
