Analyst,,,,,
Date Started,3/24/2023 10:19 AM  GMT: 5/16/2023 5:19 PM,,,,
Worksheet,LC000241_24,,,,
Comment,,,,,
Methods,"Au,Au",,,,
,,,,,
Method: Au (Flame),,,,,
,,,,,
5/15/2023,12:48:44 p.m.,PATRON,0.8829,,mg/L
5/15/2023,12:48:44 p.m.,BLANCO,0.0021,,mg/L
5/15/2023,12:48:44 p.m.,REAGENT BLANK,0,,mg/L
5/15/2023,12:48:44 p.m.,LC000241-001,0.0249,,mg/L
5/15/2023,12:48:44 p.m.,LC000241-002,0.0375,,mg/L
5/15/2023,12:48:44 p.m.,LC000241-003,0.1518,,mg/L
5/15/2023,12:48:44 p.m.,LC000241-004,0.1641,,mg/L
5/15/2023,12:48:44 p.m.,LC000241-005,0.3721,,mg/L
5/15/2023,12:48:44 p.m.,LC000241-006,0.2574,,mg/L
5/15/2023,12:48:44 p.m.,PATRON,0.8934,,mg/L
5/15/2023,12:48:44 p.m.,LC000241-007,0.2182,,mg/L
5/15/2023,12:48:44 p.m.,LC000241-008,0.3406,,mg/L
5/15/2023,12:48:44 p.m.,LC000241-009,0.3406,,mg/L
5/15/2023,12:48:44 p.m.,LC000241-010,0.4524,,mg/L
5/15/2023,12:48:44 p.m.,LC000241-011,1.2497,,mg/L
5/15/2023,12:48:44 p.m.,LC000241-012,0.5296,,mg/L
5/15/2023,12:48:44 p.m.,PATRON,0.9104,,mg/L
5/15/2023,12:48:44 p.m.,LC000241-013,0.9742,,mg/L
5/15/2023,12:48:44 p.m.,LC000241-014,0.687,,mg/L
5/15/2023,12:48:44 p.m.,LC000241-015,0.8105,,mg/L
5/15/2023,12:48:44 p.m.,LC000241-016,0.9868,,mg/L
5/15/2023,12:48:44 p.m.,LC000241-017,0.3133,,mg/L
5/15/2023,12:48:44 p.m.,LC000241-018,0.5859,,mg/L
5/15/2023,12:48:44 p.m.,PATRON,0.9114,,mg/L
5/15/2023,12:48:44 p.m.,LC000241-019,0.5379,,mg/L
5/15/2023,12:48:44 p.m.,LC000241-020,1.2323,,mg/L
5/15/2023,12:48:44 p.m.,LC000241-021,0.0052,,mg/L
5/15/2023,12:48:44 p.m.,LC000241-022,1.1211,,mg/L
5/15/2023,12:48:44 p.m.,LC000241-023,0.5484,,mg/L
5/15/2023,12:48:44 p.m.,LC000241-024,0.2071,,mg/L
5/15/2023,12:48:44 p.m.,PATRON,0.8965,,mg/L
5/15/2023,12:48:44 p.m.,LC000241-025,0.6226,,mg/L
5/15/2023,12:48:44 p.m.,LC000241-026,0.1705,,mg/L
5/15/2023,12:48:44 p.m.,LC000241-027,0.019,,mg/L
5/15/2023,12:48:44 p.m.,LC000241-028,0.3269,,mg/L
5/15/2023,12:48:44 p.m.,LC000241-029,0.3269,,mg/L
5/15/2023,12:48:44 p.m.,LC000241-030,0.1278,,mg/L
5/15/2023,12:48:44 p.m.,PATRON,0.9104,,mg/L
5/15/2023,12:48:44 p.m.,LC000241-031,0.131,,mg/L
5/15/2023,12:48:44 p.m.,PATRON,0.8829,,mg/L
5/15/2023,12:48:44 p.m.,BLANCO,0.0021,,mg/L
5/15/2023,12:48:44 p.m.,REAGENT BLANK,0,,mg/L
