Analyst,,,,,
Date Started,3/24/2023 10:19 AM  GMT: 5/16/2023 5:19 PM,,,,
Worksheet,LC000241_24,,,,
Comment,,,,,
Methods,"Au,Au",,,,
,,,,,
Method: Au (Flame),,,,,
,,,,,
5/17/2023,3:48:44 p.m.,PATRON,0.8829,,mg/L
5/17/2023,3:48:44 p.m.,BLANCO,0.0021,,mg/L
5/17/2023,3:48:44 p.m.,REAGENT BLANK,0,,mg/L
5/17/2023,3:48:44 p.m.,LC000241-026,0.1705,,mg/L
5/17/2023,3:48:44 p.m.,LC000241-028,0.3269,,mg/L
5/17/2023,3:48:44 p.m.,LC000241-030,0.1278,,mg/L
5/17/2023,3:48:44 p.m.,LC000241-031,0.116,,mg/L
5/17/2023,3:48:44 p.m.,PATRON,0.8829,,mg/L
5/17/2023,3:48:44 p.m.,BLANCO,0.0021,,mg/L
5/17/2023,3:48:44 p.m.,REAGENT BLANK,0,,mg/L
