Analyst,Judas Orduño,,
Date Started,10/06/2023 12:15 AM  GMT: 10/6/2023 12:30 AM,,
Worksheet,LC000454_24,,
Comment,,,
Methods,"Au,Au",,
,,,
Method: Au ACIDA MINA (Flame),,,
,,,
10/06/2023,12:15:30 a.m.,PATRON,0.912
10/06/2023,12:16:00 a.m.,BLANCO,0.015
10/06/2023,12:16:30 a.m.,REAGENT BLANK,0.0011
10/06/2023,12:17:00 a.m.,LC000454-001,0.0362
10/06/2023,12:17:30 a.m.,LC000454-002,0.0099
10/06/2023,12:18:00 a.m.,LC000454-003,0.1215
10/06/2023,12:18:30 a.m.,LC000454-004,0.0056
10/06/2023,12:19:00 a.m.,LC000454-005,0.0033
10/06/2023,12:19:30 a.m.,LC000454-006,0.0013
10/06/2023,12:20:00 a.m.,PATRON,0.09058
10/06/2023,12:20:30 a.m.,LC000454-007,0.0013
10/06/2023,12:21:00 a.m.,LC000454-008,0.0033
10/06/2023,12:21:30 a.m.,LC000454-009,0.0019
10/06/2023,12:22:00 a.m.,LC000454-010,0.0039
10/06/2023,12:22:30 a.m.,LC000454-011,0.0046
10/06/2023,12:23:00 a.m.,LC000454-012,0.0043
10/06/2023,12:23:30 a.m.,PATRON,0.909
10/06/2023,12:24:00 a.m.,LC000454-013,0.0063
10/06/2023,12:24:30 a.m.,LC000454-014,0.0026
10/06/2023,12:25:00 a.m.,LC000454-015,0.0029
10/06/2023,12:25:30 a.m.,LC000454-016,0.0036
10/06/2023,12:26:00 a.m.,LC000454-017,0.0053
10/06/2023,12:26:30 a.m.,LC000454-018,0.0039
10/06/2023,12:27:00 a.m.,PATRON,0.9123
10/06/2023,12:27:30 a.m.,LC000454-019,0.0059
10/06/2023,12:28:00 a.m.,LC000454-020,0.0036
10/06/2023,12:28:30 a.m.,LC000454-021,0.0013
10/06/2023,12:29:00 a.m.,LC000454-022,0.8261
10/06/2023,12:29:30 a.m.,LC000454-023,0.0086
10/06/2023,12:30:00 a.m.,LC000454-024,0.0016
10/06/2023,12:30:30 a.m.,PATRON,0.915
