Analyst,Judas Orduño,,,,
Date Started,10/06/2023 8:45 PM  GMT: 10/6/2023 8:59 PM,,,,
Worksheet,LC000462_24,,,,
Comment,,,,,
Methods,"Au,Au",,,,
,,,,,
Method: Au ACIDA MINA (Flame),,,,,
,,,,,
10/06/2023,8:45:30 p.m,PATRON,0.917,,mg/L
10/06/2023,8:45:30 p.m,BLANCO,0.019,,mg/L
10/06/2023,8:45:30 p.m,REAGENT BLANK,0.000,,mg/L
10/06/2023,8:45:30 p.m,LC000462-001,0.007,,mg/L
10/06/2023,8:45:30 p.m,LC000462-002,0.005,,mg/L
10/06/2023,8:45:30 p.m,LC000462-003,0.003,,mg/L
10/06/2023,8:45:30 p.m,LC000462-004,0.003,,mg/L
10/06/2023,8:45:30 p.m,LC000462-005,0.001,,mg/L
10/06/2023,8:45:30 p.m,LC000462-006,0.001,,mg/L
10/06/2023,8:45:30 p.m,PATRON,0.895,,mg/L
10/06/2023,8:45:30 p.m,LC000462-007,0.002,,mg/L
10/06/2023,8:45:30 p.m,LC000462-008,0.001,,mg/L
10/06/2023,8:45:30 p.m,LC000462-009,0.002,,mg/L
10/06/2023,8:45:30 p.m,LC000462-010,0.002,,mg/L
10/06/2023,8:45:30 p.m,LC000462-011,0.124,,mg/L
10/06/2023,8:45:30 p.m,LC000462-012,0.002,,mg/L
10/06/2023,8:45:30 p.m,PATRON,0.923,,mg/L
10/06/2023,8:45:30 p.m,LC000462-013,0.006,,mg/L
10/06/2023,8:45:30 p.m,LC000462-014,0.003,,mg/L
10/06/2023,8:45:30 p.m,LC000462-015,0.001,,mg/L
10/06/2023,8:45:30 p.m,LC000462-016,0.001,,mg/L
10/06/2023,8:45:30 p.m,LC000462-017,0.003,,mg/L
10/06/2023,8:45:30 p.m,LC000462-018,0.005,,mg/L
10/06/2023,8:45:30 p.m,PATRON,0.908,,mg/L
10/06/2023,8:45:30 p.m,LC000462-019,0.005,,mg/L
10/06/2023,8:45:30 p.m,LC000462-020,0.004,,mg/L
10/06/2023,8:45:30 p.m,LC000462-021,0.008,,mg/L
10/06/2023,8:45:30 p.m,LC000462-022,0.883,,mg/L
10/06/2023,8:45:30 p.m,LC000462-023,0.015,,mg/L
10/06/2023,8:45:30 p.m,LC000462-024,0.011,,mg/L
10/06/2023,8:45:30 p.m,PATRON,0.896,,mg/L
