Analyst,,,,,
Date Started,4/29/2023 12:19 AM  GMT: 4/29/2023 7:19 AM,,,,
Worksheet,LC000477_24,,,,
Comment,,,,,
Methods,"Au,Au",,,,
,,,,,
Method: Au (Flame),,,,,
,,,,,
4/29/2023,04:15:08 a. m.,PATRON,0.901,,mg/L
4/29/2023,04:15:24 a. m.,BLANCO,-0.007,,mg/L
4/29/2023,04:15:52 a. m.,REAGENT BLANK,0.009,,mg/L
4/29/2023,04:17:06 a. m.,LC000477-001,0.063,,mg/L
4/29/2023,04:17:18 a. m.,LC000477-002,0.338,,mg/L
4/29/2023,04:17:32 a. m.,LC000477-003,0.537,,mg/L
4/29/2023,04:17:46 a. m.,LC000477-004,0.345,,mg/L
4/29/2023,04:18:00 a. m.,LC000477-005,0.911,,mg/L
4/29/2023,04:18:36 a. m.,LC000477-006,0.465,,mg/L
4/29/2023,04:19:26 a. m.,PATRON,0.885,,mg/L
4/29/2023,04:19:38 a. m.,LC000477-007,0.130,,mg/L
4/29/2023,04:19:48 a. m.,LC000477-008,0.061,,mg/L
4/29/2023,04:20:02 a. m.,LC000477-009,0.031,,mg/L
4/29/2023,04:20:14 a. m.,LC000477-010,0.092,,mg/L
4/29/2023,04:15:08 a. m.,LC000477-011,0.152,,mg/L
4/29/2023,04:15:24 a. m.,LC000477-012,0.095,,mg/L
4/29/2023,04:15:52 a. m.,PATRON,0.882,,mg/L
4/29/2023,04:17:06 a. m.,LC000477-013,0.000,,mg/L
4/29/2023,04:17:18 a. m.,LC000477-014,0.152,,mg/L
4/29/2023,04:17:32 a. m.,LC000477-015,0.388,,mg/L
4/29/2023,04:17:46 a. m.,LC000477-016,0.261,,mg/L
4/29/2023,04:18:00 a. m.,LC000477-017,0.915,,mg/L
4/29/2023,04:18:36 a. m.,LC000477-018,0.496,,mg/L
4/29/2023,04:19:26 a. m.,PATRON,0.901,,mg/L
4/29/2023,04:19:38 a. m.,LC000477-019,0.962,,mg/L
4/29/2023,04:19:48 a. m.,LC000477-020,0.093,,mg/L
4/29/2023,04:20:02 a. m.,LC000477-021,0.051,,mg/L
4/29/2023,04:20:14 a. m.,LC000477-022,0.157,,mg/L
4/29/2023,04:15:24 a. m.,LC000477-023,0.002,,mg/L
4/29/2023,04:15:52 a. m.,LC000477-024,0.272,,mg/L
4/29/2023,04:17:06 a. m.,PATRON,0.886,,mg/L
,,,,,
Method: Au ALTA (Flame),,,,,
,,,,,
