Analyst,,,
Date Started,4/29/2023 12:17 AM  GMT: 4/29/2023 7:17 AM,,
Worksheet,LC000487_24,,
Comment,,,
Methods,"Au,Au",,
,,,
Method: Au (Flame),,,
,,,
4/29/2023,01:11:24 a. m.,PATRON,0.886
4/29/2023,01:11:38 a. m.,BLANCO,-0.071
4/29/2023,01:11:52 a. m.,REAGENT BLANK,-0.006
4/29/2023,01:12:06 a. m.,LC000488-001,0.621
4/29/2023,01:12:18 a. m.,LC000488-002,0.502
4/29/2023,01:12:30 a. m.,LC000488-003,0.456
4/29/2023,01:12:46 a. m.,LC000488-004,0.013
4/29/2023,01:12:56 a. m.,LC000488-005,0.120
,,,
Method: Au ALTA (Flame),,,
