Analyst,Elizandell,,,,
Date Started,14/06/2023,,,,
Worksheet,LC000483-RE_24,,,,
Comment,,,,,
Methods,"Au,Au",,,,
,,,,,
Method: Au ACIDA MINA (Flame),,,,,
,,,,,
14/06/2023,2:00 p.m.,PATRON,0.925,,mg/L
14/06/2023,2:00 p.m.,BLANCO,0.02,,mg/L
14/06/2023,2:00 p.m.,REAGENT BLANK,0.01,,mg/L
14/06/2023,2:00 p.m.,LC000486-010,0.599,,mg/L
14/06/2023,2:00 p.m.,LC000486-011,1.072,,mg/L
14/06/2023,2:00 p.m.,LC000486-012,3.360,,mg/L
14/06/2023,2:00 p.m.,LC000486-013,3.466,,mg/L
14/06/2023,2:00 p.m.,LC000486-014,0.792,,mg/L
14/06/2023,2:00 p.m.,LC000486-015,1.441,,mg/L
14/06/2023,2:00 p.m.,LC000486-016,0.365,,mg/L
