Analyst,,,,,
Date Started,4/29/2023 12:17 AM  GMT: 4/29/2023 7:17 AM,,,,
Worksheet,LC000497_24,,,,
Comment,,,,,
Methods,"Au,Au",,,,
,,,,,
Method: Au (Flame),,,,,
,,,,,
4/29/2023,01:11:24 a. m.,PATRON,0.918,,mg/L
4/29/2023,01:11:38 a. m.,BLANCO,-0.001,,mg/L
4/29/2023,01:11:52 a. m.,REAGENT BLANK,-0.004,,mg/L
4/29/2023,01:12:06 a. m.,LC000497-001,0.266,,mg/L
4/29/2023,01:12:18 a. m.,LC000497-002,0.420,,mg/L
4/29/2023,01:12:30 a. m.,LC000497-003,0.154,,mg/L
4/29/2023,01:12:46 a. m.,LC000497-004,0.168,,mg/L
4/29/2023,01:12:56 a. m.,LC000497-005,0.671,,mg/L
4/29/2023,01:11:24 a. m.,LC000497-006,1.133,,mg/L
4/29/2023,01:11:38 a. m.,PATRON,0.904,,mg/L
4/29/2023,01:11:52 a. m.,LC000497-007,0.360,,mg/L
4/29/2023,01:12:06 a. m.,LC000497-008,0.016,,mg/L
4/29/2023,01:12:18 a. m.,LC000497-009,0.592,,mg/L
4/29/2023,01:12:30 a. m.,LC000497-010,0.569,,mg/L
4/29/2023,01:12:46 a. m.,LC000497-011,1.194,,mg/L
4/29/2023,01:12:56 a. m.,LC000497-012,1.267,,mg/L
4/29/2023,01:11:24 a. m.,PATRON,0.916,,mg/L
4/29/2023,01:11:38 a. m.,LC000497-013,1.455,,mg/L
4/29/2023,01:11:52 a. m.,LC000497-014,1.272,,mg/L
4/29/2023,01:12:06 a. m.,LC000497-015,1.039,,mg/L
4/29/2023,01:12:18 a. m.,LC000497-016,0.983,,mg/L
4/29/2023,01:12:30 a. m.,LC000497-017,0.903,,mg/L
4/29/2023,01:12:46 a. m.,LC000497-018,0.918,,mg/L
4/29/2023,01:12:56 a. m.,PATRON,0.902,,mg/L
4/29/2023,01:11:24 a. m.,LC000497-019,1.221,,mg/L
4/29/2023,01:11:38 a. m.,LC000497-020,0.416,,mg/L
4/29/2023,01:11:52 a. m.,LC000497-021,0.937,,mg/L
4/29/2023,01:12:06 a. m.,LC000497-022,0.522,,mg/L
4/29/2023,01:12:18 a. m.,LC000497-023,0.117,,mg/L
4/29/2023,01:12:30 a. m.,LC000497-024,1.995,,mg/L
4/29/2023,01:12:56 a. m.,PATRON,0.911,,mg/L
,,,,,
Method: Au ALTA (Flame),,,,,
