Analyst,Elias Ortega,,,,
Date Started,19/06/2023 11:11 PM  GMT: 19/6/2023 11:11 PM,,,,
Worksheet,LC000525_24,,,,
Comment,,,,,
Methods,"Au,Au",,,,
,,,,,
Method: Au ACIDA MINA (Flame),,,,,
,,,,,
19/06/2023,11:11 p. m.,PATRON,0.899,,mg/L
19/06/2023,11:11 p. m.,BLANCO,-0.003,,mg/L
19/06/2023,11:11 p. m.,REAGENT BLANK,0.001,,mg/L
19/06/2023,11:11 p. m.,LC000525-001,0.015326181,,mg/L
19/06/2023,11:11 p. m.,LC000525-002,0.115302586,,mg/L
19/06/2023,11:11 p. m.,LC000525-003,0.012330045,,mg/L
19/06/2023,11:11 p. m.,LC000525-004,0.644591759,,mg/L
19/06/2023,11:11 p. m.,LC000525-005,0.003666667,,mg/L
19/06/2023,11:11 p. m.,LC000525-006,0.014978032,,mg/L
19/06/2023,11:11 p. m.,,0.919,,mg/L
19/06/2023,11:11 p. m.,LC000525-007,0.005332978,,mg/L
19/06/2023,11:11 p. m.,LC000525-008,0.004661694,,mg/L
19/06/2023,11:11 p. m.,LC000525-009,0.006995103,,mg/L
19/06/2023,11:11 p. m.,LC000525-010,0.011327292,,mg/L
19/06/2023,11:11 p. m.,LC000525-011,0.006664889,,mg/L
19/06/2023,11:11 p. m.,LC000525-012,0.012329634,,mg/L
19/06/2023,11:11 p. m.,,0.921,,mg/L
19/06/2023,11:11 p. m.,LC000525-013,0.003996004,,mg/L
19/06/2023,11:11 p. m.,LC000525-014,0.008319191,,mg/L
19/06/2023,11:11 p. m.,LC000525-015,0.005998001,,mg/L
19/06/2023,11:11 p. m.,LC000525-016,0.041263186,,mg/L
19/06/2023,11:11 p. m.,LC000525-017,0.27563249,,mg/L
19/06/2023,11:11 p. m.,LC000525-018,0.103618311,,mg/L
19/06/2023,11:11 p. m.,,0.923,,mg/L
19/06/2023,11:11 p. m.,LC000525-019,0.01732698,,mg/L
19/06/2023,11:11 p. m.,LC000525-020,0.004665734,,mg/L
19/06/2023,11:11 p. m.,LC000525-021,0.030324236,,mg/L
19/06/2023,11:11 p. m.,LC000525-022,0.011993603,,mg/L
19/06/2023,11:11 p. m.,LC000525-023,0.01566249,,mg/L
19/06/2023,11:11 p. m.,LC000525-024,0.0086658,,mg/L
19/06/2023,11:11 p. m.,,0.921,,mg/L
