Analyst,Elizandell de la Vara,,,,
Date Started,24/6/2023 3:34 AM  GMT: 24/6/2023 3:34 AM,,,,
Worksheet,LC000547_24,,,,
Comment,,,,,
Methods,"Au,Au",,,,
,,,,,
Method: Au (Flame),,,,,
,,,,,
24/06/2023,03:34:24 a. m.,PATRON,0.9015,,mg/L
24/06/2023,03:34:24 a. m.,BLANCO,0.0096,,mg/L
24/06/2023,03:34:24 a. m.,REAGENT BLANK,0,,mg/L
24/06/2023,03:34:24 a. m.,LC000547-001,0.001332933,,mg/L
24/06/2023,03:34:24 a. m.,LC000547-002,0.003998401,,mg/L
24/06/2023,03:34:24 a. m.,LC000547-003,0.085939842,,mg/L
24/06/2023,03:34:24 a. m.,LC000547-004,0.003327566,,mg/L
24/06/2023,03:34:24 a. m.,LC000547-005,0.000332967,,mg/L
24/06/2023,03:34:24 a. m.,LC000547-006,0.000333256,,mg/L
24/06/2023,03:34:24 a. m.,PATRON,0.8954,,mg/L
24/06/2023,03:34:24 a. m.,LC000547-007,0.000665314,,mg/L
24/06/2023,03:34:24 a. m.,LC000547-008,0.0009994,,mg/L
24/06/2023,03:34:24 a. m.,LC000547-009,0.001994813,,mg/L
24/06/2023,03:34:24 a. m.,LC000547-010,0.001995809,,mg/L
24/06/2023,03:34:24 a. m.,LC000547-011,0.001997137,,mg/L
24/06/2023,03:34:24 a. m.,LC000547-012,0.028319174,,mg/L
24/06/2023,03:34:24 a. m.,PATRON,0.9054,,mg/L
24/06/2023,03:34:24 a. m.,LC000547-013,0.000666311,,mg/L
24/06/2023,03:34:24 a. m.,LC000547-014,0.000999867,,mg/L
24/06/2023,03:34:24 a. m.,LC000547-015,0.000997938,,mg/L
24/06/2023,03:34:24 a. m.,LC000547-016,0.000666112,,mg/L
24/06/2023,03:34:24 a. m.,LC000547-017,0.001997137,,mg/L
24/06/2023,03:34:24 a. m.,LC000547-018,0.025973161,,mg/L
24/06/2023,03:34:24 a. m.,PATRON,0.8999,,mg/L
24/06/2023,03:34:24 a. m.,LC000547-019,0.0119984,,mg/L
24/06/2023,03:34:24 a. m.,LC000547-020,0.002666667,,mg/L
24/06/2023,03:34:24 a. m.,LC000547-021,0.118603412,,mg/L
24/06/2023,03:34:24 a. m.,LC000547-022,0.001332401,,mg/L
24/06/2023,03:34:24 a. m.,LC000547-023,0.012661602,,mg/L
24/06/2023,03:34:24 a. m.,LC000547-024,0.002995606,,mg/L
24/06/2023,03:34:24 a. m.,PATRON,0.8899,,mg/L
