Analyst,,,,,
Date Started,25/6/2023 11:34 PM  GMT: 25/6/2023 11:34 PM,,,,
Worksheet,LC000566_24,,,,
Comment,,,,,
Methods,"Au,Au",,,,
,,,,,
Method: Au (Flame),,,,,
,,,,,
25/06/2023,11:34:00 p. m.,PATRON,0.873,,mg/L
25/06/2023,11:34:00 p. m.,BLANCO,-0.001,,mg/L
25/06/2023,11:34:00 p. m.,REAGENT BLANK,-0.008,,mg/L
25/06/2023,11:34:00 p. m.,LC000566-001,0.046640237,,mg/L
25/06/2023,11:34:00 p. m.,LC000566-002,0.051630525,,mg/L
25/06/2023,11:34:00 p. m.,LC000566-003,0.003666667,,mg/L
25/06/2023,11:34:00 p. m.,LC000566-004,0.430856381,,mg/L
25/06/2023,11:34:00 p. m.,PATRON,0.899,,mg/L
