Analyst,Claudia Delgado,,,,
Date Started,26/6/2023 3:34 AM  GMT: 26/6/2023 3:34 AM,,,,
Worksheet,LC000570_24,,,,
Comment,,,,,
Methods,"Au,Au",,,,
,,,,,
Method: Au (Flame),,,,,
,,,,,
26/06/2023,03:34:24 a. m.,PATRON,0.89,,mg/L
26/06/2023,03:34:24 a. m.,BLANCO,0.015,,mg/L
26/06/2023,03:34:24 a. m.,REAGENT BLANK,-0.01,,mg/L
26/06/2023,03:34:24 a. m.,LC000570-001,0.053,,mg/L
26/06/2023,03:34:24 a. m.,LC000570-002,0.012,,mg/L
26/06/2023,03:34:24 a. m.,LC000570-003,0.001,,mg/L
26/06/2023,03:34:24 a. m.,LC000570-004,0.023,,mg/L
26/06/2023,03:34:24 a. m.,LC000570-005,0.129,,mg/L
26/06/2023,03:34:24 a. m.,LC000570-006,0.021,,mg/L
26/06/2023,03:34:24 a. m.,PATRON,0.926,,mg/L
26/06/2023,03:34:24 a. m.,LC000570-007,0.028,,mg/L
26/06/2023,03:34:24 a. m.,LC000570-008,0.01,,mg/L
26/06/2023,03:34:24 a. m.,LC000570-009,0.01,,mg/L
26/06/2023,03:34:24 a. m.,LC000570-010,0.012,,mg/L
26/06/2023,03:34:24 a. m.,LC000570-011,0.011,,mg/L
26/06/2023,03:34:24 a. m.,LC000570-012,0.016,,mg/L
26/06/2023,03:34:24 a. m.,PATRON,0.889,,mg/L
26/06/2023,03:34:24 a. m.,LC000570-013,0.023,,mg/L
26/06/2023,03:34:24 a. m.,LC000570-014,0.015,,mg/L
26/06/2023,03:34:24 a. m.,PATRON,0.905,,mg/L
26/06/2023,03:34:24 a. m.,BLANCO,-0.048,,mg/L
