Analyst,Elizandell,,,,
Date Started,26/6/2023 3:34 AM  GMT: 26/6/2023 3:34 AM,,,,
Worksheet,LC000578_24,,,,
Comment,,,,,
Methods,"Au,Au",,,,
,,,,,
Method: Au (Flame),,,,,
,,,,,
26/06/2023,03:34:24 a. m.,PATRON,0.91,,mg/L
26/06/2023,03:34:24 a. m.,BLANCO,0.00,,mg/L
26/06/2023,03:34:24 a. m.,REAGENT BLANK,0.02,,mg/L
26/06/2023,03:34:24 a. m.,LC000578-001,1.25,,mg/L
26/06/2023,03:34:24 a. m.,LC000578-002,1.83,,mg/L
26/06/2023,03:34:24 a. m.,LC000578-003,0.02,,mg/L
26/06/2023,03:34:24 a. m.,LC000578-004,3.37,,mg/L
26/06/2023,03:34:24 a. m.,LC000578-005,0.57,,mg/L
26/06/2023,03:34:24 a. m.,LC000578-006,1.18,,mg/L
26/06/2023,03:34:24 a. m.,PATRON,0.92,,mg/L
26/06/2023,03:34:24 a. m.,LC000578-007,0.84,,mg/L
26/06/2023,03:34:24 a. m.,LC000578-008,0.87,,mg/L
26/06/2023,03:34:24 a. m.,LC000578-009,1.22,,mg/L
26/06/2023,03:34:24 a. m.,LC000578-010,0.89,,mg/L
26/06/2023,03:34:24 a. m.,LC000578-011,0.93,,mg/L
26/06/2023,03:34:24 a. m.,LC000578-012,1.04,,mg/L
26/06/2023,03:34:24 a. m.,PATRON,0.92,,mg/L
26/06/2023,03:34:24 a. m.,LC000578-013,1.58,,mg/L
26/06/2023,03:34:24 a. m.,LC000578-014,3.81,,mg/L
26/06/2023,03:34:24 a. m.,LC000578-015,3.38,,mg/L
26/06/2023,03:34:24 a. m.,LC000578-016,5.13,,mg/L
26/06/2023,03:34:24 a. m.,LC000578-017,1.73,,mg/L
26/06/2023,03:34:24 a. m.,LC000578-018,0.90,,mg/L
26/06/2023,03:34:24 a. m.,PATRON,0.91,,mg/L
26/06/2023,03:34:24 a. m.,LC000578-019,0.39,,mg/L
26/06/2023,03:34:24 a. m.,LC000578-020,0.15,,mg/L
26/06/2023,03:34:24 a. m.,LC000578-021,0.09,,mg/L
26/06/2023,03:34:24 a. m.,LC000578-022,0.03,,mg/L
26/06/2023,03:34:24 a. m.,LC000578-023,0.10,,mg/L
26/06/2023,03:34:24 a. m.,LC000578-024,0.22,,mg/L
26/06/2023,03:34:24 a. m.,PATRON,0.89,,mg/L
