Analyst,CLAUDIA DELGADO,,
Date Started,11/07/2023,,
Worksheet,LC000692_24,,
Comment,,,
Methods,"Au,Au",,
,,,
Method: Au (Flame),,,
,,,
11/07/2023,03:26:00 a. m.,PATRON,0.920
11/07/2023,03:27:00 a. m.,BLANCO,0.029
11/07/2023,03:28:00 a. m.,REAGENT BLANK,0.019
11/07/2023,03:29:00 a. m.,LC000692-001,0.502
11/07/2023,03:30:00 a. m.,LC000692-002,0.121
11/07/2023,03:31:00 a. m.,LC000692-003,0.364
11/07/2023,03:32:00 a. m.,LC000692-004,0.412
11/07/2023,03:33:00 a. m.,LC000692-005,0.007
11/07/2023,03:34:00 a. m.,LC000692-006,0.124
11/07/2023,03:35:00 a. m.,PATRON,0.886
