Analyst,Judas,,,,
Date Started,30/07/2023,,,,
Worksheet,LC000831_24,,,,
Comment,,,,,
Methods,"Au,Au",,,,
,,,,,
Method: Au (Flame),,,,,
,,,,,
31/07/2023,04:35:00 a. m.,PATRON,0.8830,,mg/L
31/07/2023,04:36:00 a. m.,BLANCO,0.0050,,mg/L
31/07/2023,04:37:00 a. m.,REAGENT BLANK,0.0010,,mg/L
31/07/2023,04:38:00 a. m.,LC000831-001,0.0922,,mg/L
31/07/2023,04:39:00 a. m.,LC000831-002,0.3250,,mg/L
31/07/2023,04:40:00 a. m.,LC000831-003,0.1164,,mg/L
31/07/2023,04:41:00 a. m.,LC000831-004,0.9518,,mg/L
31/07/2023,04:42:00 a. m.,LC000831-005,0.2069,,mg/L
31/07/2023,04:43:00 a. m.,LC000831-006,0.0756,,mg/L
31/07/2023,04:44:00 a. m.,PATRON,0.8840,,mg/L
31/07/2023,04:45:00 a. m.,LC000831-007,0.1397,,mg/L
31/07/2023,04:46:00 a. m.,LC000831-008,0.0616,,mg/L
31/07/2023,04:35:00 a. m.,LC000831-009,0.0619,,mg/L
31/07/2023,04:36:00 a. m.,LC000831-010,0.0299,,mg/L
31/07/2023,04:37:00 a. m.,LC000831-011,0.0270,,mg/L
31/07/2023,04:38:00 a. m.,LC000831-012,0.0272,,mg/L
31/07/2023,04:39:00 a. m.,PATRON,0.8800,,mg/L
31/07/2023,04:40:00 a. m.,LC000831-013,0.0396,,mg/L
31/07/2023,04:41:00 a. m.,LC000831-014,0.0460,,mg/L
31/07/2023,04:42:00 a. m.,LC000831-015,0.0671,,mg/L
31/07/2023,04:43:00 a. m.,LC000831-016,0.0269,,mg/L
31/07/2023,04:44:00 a. m.,LC000831-017,0.0060,,mg/L
31/07/2023,04:45:00 a. m.,LC000831-018,0.0808,,mg/L
31/07/2023,04:46:00 a. m.,PATRON,0.8730,,mg/L
31/07/2023,04:35:00 a. m.,LC000831-019,0.0530,,mg/L
31/07/2023,04:36:00 a. m.,LC000831-020,0.1981,,mg/L
31/07/2023,04:37:00 a. m.,LC000831-021,0.1058,,mg/L
31/07/2023,04:38:00 a. m.,LC000831-022,0.2021,,mg/L
31/07/2023,04:39:00 a. m.,PATRON,0.8750,,mg/L
,,,,,
,,,,,
