Analyst,Judas,,
Date Started,30/07/2023,,
Worksheet,LC000833-RE_24,,
Comment,,,
Methods,"Au,Au",,
,,,
Method: Au (Flame),,,
,,,
01/08/2023,04:35:00 a. m.,PATRON,0.927
01/08/2023,04:36:00 a. m.,BLANCO,-0.002
01/08/2023,04:37:00 a. m.,REAGENT BLANK,-0.002
01/08/2023,04:38:00 a. m.,LC000831-001,0.061
01/08/2023,04:39:00 a. m.,LC000831-002,0.112
01/08/2023,04:40:00 a. m.,LC000831-003,0.115
01/08/2023,04:41:00 a. m.,LC000831-004,0.533
01/08/2023,04:42:00 a. m.,LC000831-005,0.118
01/08/2023,04:43:00 a. m.,LC000831-006,0.069
01/08/2023,04:44:00 a. m.,PATRON,0.887
