Analyst,Claudia,,
Date Started,04/08/2023,,
Worksheet,LC000857_24,,
Comment,,,
Methods,"Au,Au",,
,,,
Method: Au (Flame),,,
,,,
04/08/2023,04:35:00 a. m.,PATRON,0.894
04/08/2023,04:36:00 a. m.,BLANCO,0.009
04/08/2023,04:37:00 a. m.,REAGENT BLANK,0.012
04/08/2023,04:38:00 a. m.,LC000858-001,0.098
04/08/2023,04:39:00 a. m.,LC000858-002,0.042
04/08/2023,04:40:00 a. m.,LC000857-003,0.113
04/08/2023,04:41:00 a. m.,LC000858-004,0.023
04/08/2023,04:42:00 a. m.,LC000858-005,0.081
04/08/2023,04:43:00 a. m.,LC000858-006,0.022
04/08/2023,04:44:00 a. m.,PATRON,0.909
04/08/2023,04:46:00 a. m.,LC000858-007,1.571
04/08/2023,04:47:00 a. m.,LC000858-008,8.300
04/08/2023,04:48:00 a. m.,LC000858-009,0.085
04/08/2023,04:49:00 a. m.,LC000858-010,0.243
04/08/2023,04:50:00 a. m.,LC000858-011,0.099
04/08/2023,04:51:00 a. m.,LC000858-012,0.154
04/08/2023,04:52:00 a. m.,PATRON,0.912
04/08/2023,04:53:00 a. m.,LC000858-013,1.417
04/08/2023,04:54:00 a. m.,LC000858-014,0.119
04/08/2023,04:55:00 a. m.,LC000858-015,0.193
04/08/2023,04:56:00 a. m.,LC000858-016,0.038
04/08/2023,04:57:00 a. m.,LC000858-017,0.119
04/08/2023,04:58:00 a. m.,LC000858-018,0.102
04/08/2023,04:59:00 a. m.,PATRON,0.910
04/08/2023,05:00:00 a. m.,LC000858-019,0.188
04/08/2023,05:01:00 a. m.,LC000858-020,0.106
04/08/2023,05:02:00 a. m.,LC000858-021,0.006
04/08/2023,05:03:00 a. m.,LC000858-022,0.069
04/08/2023,05:04:00 a. m.,LC000858-023,0.045
04/08/2023,05:05:00 a. m.,LC000858-024,0.040
04/08/2023,05:06:00 a. m.,PATRON,0.895
