Analyst,Claudia,,,,
Date Started,06/08/2023,,,,
Worksheet,LC000870_24,,,,
Comment,,,,,
Methods,"Au,Au",,,,
,,,,,
Method: Au (Flame),,,,,
,,,,,
06/08/2023,04:35:00 a. m.,PATRON,0.908,,mg/l
06/08/2023,04:35:00 a. m.,BLANCO,0.006,,mg/l
06/08/2023,04:35:00 a. m.,REAGENT BLANK,-0.002,,mg/l
06/08/2023,04:35:00 a. m.,LC000870-001,0.054990835,,mg/l
06/08/2023,04:35:00 a. m.,LC000870-002,0.024298505,,mg/l
06/08/2023,04:35:00 a. m.,LC000870-003,0.082606089,,mg/l
06/08/2023,04:35:00 a. m.,LC000870-004,0.021989005,,mg/l
06/08/2023,04:35:00 a. m.,LC000870-005,0.153851277,,mg/l
06/08/2023,04:35:00 a. m.,LC000870-006,0.173637727,,mg/l
06/08/2023,04:35:00 a. m.,PATRON,0.918,,mg/l
06/08/2023,04:35:00 a. m.,LC000870-007,0.080519048,,mg/l
06/08/2023,04:35:00 a. m.,LC000870-008,0.109978004,,mg/l
06/08/2023,04:35:00 a. m.,LC000870-009,0.212234291,,mg/l
06/08/2023,04:35:00 a. m.,LC000870-010,0.227227294,,mg/l
06/08/2023,04:35:00 a. m.,LC000870-011,0.224835121,,mg/l
06/08/2023,04:35:00 a. m.,LC000870-012,0.105656101,,mg/l
06/08/2023,04:35:00 a. m.,PATRON,0.914,,mg/l
06/08/2023,04:35:00 a. m.,LC000870-013,0.042658135,,mg/l
06/08/2023,04:35:00 a. m.,LC000870-014,0.085589636,,mg/l
06/08/2023,04:35:00 a. m.,LC000870-015,0.132942392,,mg/l
06/08/2023,04:35:00 a. m.,LC000870-016,0.034994168,,mg/l
06/08/2023,04:35:00 a. m.,LC000870-017,0.049663356,,mg/l
06/08/2023,04:35:00 a. m.,LC000870-018,0.005666667,,mg/l
06/08/2023,04:35:00 a. m.,PATRON,0.922,,mg/l
06/08/2023,04:35:00 a. m.,LC000870-019,0.018328446,,mg/l
06/08/2023,04:35:00 a. m.,LC000870-020,0.118579708,,mg/l
06/08/2023,04:35:00 a. m.,LC000870-021,0.467588735,,mg/l
06/08/2023,04:35:00 a. m.,PATRON,0.895,,mg/l
