Analyst,JUDAS,,,,
Date Started,07/08/2023,,,,
Worksheet,LC000887_24,,,,
Comment,,,,,
Methods,"Au,Au",,,,
,,,,,
Method: Au (Flame),,,,,
,,,,,
08/08/2023,01:00:00 p. m.,PATRON,0.924,,mg/l
08/08/2023,01:01:00 p. m.,BLANCO,0.005,,mg/l
08/08/2023,01:02:00 p. m.,REAGENT BLANK,-0.005,,mg/l
08/08/2023,01:03:00 p. m.,LC000887-001,0.0182,,mg/l
08/08/2023,01:04:00 p. m.,LC000887-002,0.0053,,mg/l
08/08/2023,01:05:00 p. m.,LC000887-003,0.003,,mg/l
08/08/2023,01:06:00 p. m.,LC000887-004,0.0063,,mg/l
08/08/2023,01:07:00 p. m.,LC000887-005,0.0046,,mg/l
08/08/2023,01:08:00 p. m.,LC000887-006,0.0007,,mg/l
08/08/2023,01:09:00 p. m.,PATRON,0.882,,mg/l
08/08/2023,01:10:00 p. m.,LC000887-007,0.0067,,mg/l
08/08/2023,01:11:00 p. m.,LC000887-008,0.007,,mg/l
08/08/2023,01:12:00 p. m.,LC000887-009,0.0077,,mg/l
08/08/2023,01:00:00 p. m.,LC000887-010,0.0067,,mg/l
08/08/2023,01:01:00 p. m.,LC000887-011,0.0036,,mg/l
08/08/2023,01:02:00 p. m.,LC000887-012,0.0023,,mg/l
08/08/2023,01:03:00 p. m.,PATRON,0.912,,mg/l
08/08/2023,01:04:00 p. m.,LC000887-013,0.008,,mg/l
08/08/2023,01:05:00 p. m.,LC000887-014,0.015,,mg/l
08/08/2023,01:06:00 p. m.,LC000887-015,0.009,,mg/l
08/08/2023,01:07:00 p. m.,LC000887-016,0.9221,,mg/l
08/08/2023,01:08:00 p. m.,LC000887-017,0.0103,,mg/l
08/08/2023,01:09:00 p. m.,LC000887-018,0.0117,,mg/l
08/08/2023,01:10:00 p. m.,PATRON,0.892,,mg/l
08/08/2023,01:11:00 p. m.,LC000887-019,0.015,,mg/l
08/08/2023,01:12:00 p. m.,LC000887-020,0.0169,,mg/l
08/08/2023,01:00:00 p. m.,LC000887-021,0.0203,,mg/l
08/08/2023,01:01:00 p. m.,LC000887-022,0.016,,mg/l
08/08/2023,01:02:00 p. m.,LC000887-023,0.4452,,mg/l
08/08/2023,01:03:00 p. m.,LC000887-024,0.0199,,mg/l
08/08/2023,01:04:00 p. m.,PATRON,0.905,,mg/l
