Analyst,JUDAS,,,,
Date Started,13/08/2023,,,,
Worksheet,LC000952-RE_24,,,,
Comment,,,,,
Methods,"Au,Au",,,,
,,,,,
Method: Au (Flame),,,,,
,,,,,
13/08/2023,01:00:00 p. m.,PATRON,0.8920,,mg/l
13/08/2023,01:00:00 p. m.,BLANCO,-0.0110,,mg/l
13/08/2023,01:00:00 p. m.,REAGENT BLANK,0.0010,,mg/l
13/08/2023,01:00:00 p. m.,LC000950-008,2.1997,,mg/l
13/08/2023,01:00:00 p. m.,LC000950-009,0.1189,,mg/l
13/08/2023,01:00:00 p. m.,LC000950-011,0.1965,,mg/l
13/08/2023,01:00:00 p. m.,LC000950-012,0.1252,,mg/l
13/08/2023,01:00:00 p. m.,PATRON,0.9020,,mg/l
