Analista,,,,,
Fecha de inicio,8/17/2023 2:36 AM  GMT: 8/17/2023 9:36 AM,,,,
Hoja de trabajo,LC000987_24,,,,
Comentario,,,,,
Métodos,"Au,Au",,,,
,,,,,
Método: Au (Llama),,,,,
,,,,,
8/17/2023,2:57:54 AM,PATRON,0.9011,,mg/L
8/17/2023,2:58:14 AM,BLANCO,0.0166,,mg/L
8/17/2023,2:58:26 AM,BLANCO REACTIVO REAG,0.0257,,mg/L
8/17/2023,2:58:44 AM,LC000987-001,0.0287,,mg/L
8/17/2023,2:59:02 AM,LC000987-002,0.0459,,mg/L
8/17/2023,2:59:22 AM,LC000987-003,0.0354,,mg/L
8/17/2023,3:02:32 AM,LC000987-004,0.1401,,mg/L
8/17/2023,3:02:46 AM,LC000987-005,0.0577,,mg/L
8/17/2023,3:03:02 AM,LC000987-006,0.0364,,mg/L
8/17/2023,3:03:20 AM,PATRON,0.8991,,mg/L
8/17/2023,3:03:40 AM,LC000987-007,0.2145,,mg/L
8/17/2023,3:03:56 AM,LC000987-008,0.0464,,mg/L
8/17/2023,3:04:20 AM,LC000987-009,0.0162,,mg/L
8/17/2023,3:04:38 AM,LC000987-010,0.0243,,mg/L
8/17/2023,3:04:54 AM,LC000987-011,0.0429,,mg/L
8/17/2023,3:05:10 AM,LC000987-012,0.2935,,mg/L
8/17/2023,3:05:26 AM,PATRON,0.9007,,mg/L
8/17/2023,3:05:54 AM,LC000987-013,0.4588,,mg/L
8/17/2023,3:06:14 AM,LC000987-014,0.0207,,mg/L
8/17/2023,3:06:30 AM,LC000987-015,0.0673,,mg/L
8/17/2023,3:06:42 AM,LC000987-016,-0.0031,,mg/L
8/17/2023,3:06:54 AM,LC000987-017,0.1949,,mg/L
8/17/2023,3:07:12 AM,LC000987-018,0.087,,mg/L
8/17/2023,3:07:30 AM,PATRON,0.8927,,mg/L
8/17/2023,3:07:48 AM,LC000987-019,1.3308,,mg/L
8/17/2023,3:08:04 AM,LC000987-020,0.2756,,mg/L
8/17/2023,3:08:20 AM,LC000987-021,0.3273,,mg/L
8/17/2023,3:08:36 AM,LC000987-022,0.0354,,mg/L
8/17/2023,3:08:56 AM,LC000987-023,0.057,,mg/L
8/17/2023,3:09:16 AM,LC000987-024,0.0394,,mg/L
8/17/2023,3:09:32 AM,PATRON,0.9111,,mg/L
8/17/2023,3:09:48 AM,BLANCO,-0.0223,,mg/L
8/17/2023,3:09:58 AM,BLANCO REACTIVO REAG,-0.0303,,mg/L
