Analista,,,,,
Fecha de inicio,8/23/2023 10:43 PM  GMT: 8/24/2023 5:43 AM,,,,
Hoja de trabajo,LC001035_24,,,,
Comentario,,,,,
Métodos,"Au,Au",,,,
,,,,,
Método: Au (Llama),,,,,
,,,,,
8/23/2023,11:00:50 PM,PATRON,0.882,,mg/L
8/23/2023,11:01:06 PM,BLANCO,0.022,,mg/L
8/23/2023,11:01:16 PM,BLANCO REACTIVO REAG,0.041,,mg/L
8/23/2023,11:01:30 PM,LC001035-001,0.1983,,mg/L
8/23/2023,11:01:46 PM,LC001035-002,0.7003,,mg/L
8/23/2023,11:02:00 PM,LC001035-003,0.4317,,mg/L
8/23/2023,11:02:14 PM,LC001035-004,0.8723,,mg/L
8/23/2023,11:02:30 PM,LC001035-005,1.5058,,mg/L
8/23/2023,11:02:46 PM,LC001035-006,0.7278,,mg/L
8/23/2023,11:03:06 PM,PATRON,0.9148,,mg/L
8/23/2023,11:03:26 PM,LC001035-007,1.0375,,mg/L
8/23/2023,11:03:40 PM,LC001035-008,0.6304,,mg/L
8/23/2023,11:03:54 PM,LC001035-009,0.4353,,mg/L
8/23/2023,11:04:10 PM,LC001035-010,0.2819,,mg/L
8/23/2023,11:04:24 PM,LC001035-011,0.3213,,mg/L
8/23/2023,11:04:40 PM,LC001035-012,0.3487,,mg/L
8/23/2023,11:04:54 PM,PATRON,0.9237,,mg/L
8/23/2023,11:05:12 PM,LC001035-013,0.2513,,mg/L
8/23/2023,11:05:30 PM,LC001035-014,0.3491,,mg/L
8/23/2023,11:05:42 PM,LC001035-015,1.0696,,mg/L
8/23/2023,11:10:46 PM,LC001035-016,0.0004,,mg/L
8/23/2023,11:06:22 PM,LC001035-017,0.6057,,mg/L
8/23/2023,11:06:34 PM,LC001035-018,0.7569,,mg/L
8/23/2023,11:06:50 PM,PATRON,0.9237,,mg/L
8/23/2023,11:07:10 PM,LC001035-019,0.76,,mg/L
8/23/2023,11:07:24 PM,LC001035-020,1.3509,,mg/L
8/23/2023,11:07:34 PM,LC001035-021,OVER,R,mg/L
8/23/2023,11:07:48 PM,LC001035-022,0.8242,,mg/L
8/23/2023,11:08:02 PM,LC001035-023,0.0357,,mg/L
8/23/2023,11:18:26 PM,LC001035-024,0.6119,,mg/L
8/23/2023,11:20:34 PM,PATRON,0.9255,,mg/L
8/23/2023,11:25:12 PM,BLANCO,,,mg/L
8/23/2023,11:25:38 PM,PATRON,,,mg/L
,,,,,
Método: Au AU ALTO (Llama),,,,,
,,,,,
,,,,,
8/23/2023,11:30:36 PM,LC001035-021,2.5738,,mg/L
