Analista,JUDAS,,,,
Fecha de inicio,8/24/2023 3:39 AM  GMT: 8/24/2023 10:39 AM,,,,
Hoja de trabajo,LC001036_24,,,,
Comentario,,,,,
Métodos,"Au,Au",,,,
,,,,,
Método: Au (Llama),,,,,
,,,,,
8/24/2023,4:25:00 AM,PATRON,0.9101,,mg/L
8/24/2023,4:25:20 AM,BLANCO,0.0172,,mg/L
8/24/2023,4:25:32 AM,BLANCO REACTIVO REAG,0.0214,,mg/L
8/24/2023,4:25:56 AM,LC001036-001,0.5945,,mg/L
8/24/2023,4:26:12 AM,LC001036-002,0.7746,,mg/L
8/24/2023,4:26:24 AM,LC001036-003,1.0019,,mg/L
8/24/2023,4:26:38 AM,LC001036-004,0.2603,,mg/L
8/24/2023,4:34:46 AM,LC001036-005,0.4413,,mg/L
8/24/2023,4:27:18 AM,LC001036-006,0.4399,,mg/L
8/24/2023,4:27:44 AM,PATRON,0.8855,,mg/L
8/24/2023,4:28:00 AM,LC001036-007,0.3091,,mg/L
8/24/2023,4:28:12 AM,LC001036-008,0.3183,,mg/L
8/24/2023,4:28:24 AM,LC001036-009,0.1715,,mg/L
8/24/2023,4:28:36 AM,LC001036-010,0.8512,,mg/L
8/24/2023,4:28:48 AM,LC001036-011,0.3246,,mg/L
8/24/2023,4:29:00 AM,LC001036-012,0.1675,,mg/L
8/24/2023,4:29:12 AM,PATRON,0.8832,,mg/L
8/24/2023,4:29:32 AM,LC001036-013,0.1311,,mg/L
8/24/2023,4:29:44 AM,LC001036-014,0.4962,,mg/L
8/24/2023,4:29:56 AM,LC001036-015,0.3493,,mg/L
8/24/2023,4:30:10 AM,LC001036-016,0.3038,,mg/L
8/24/2023,4:30:22 AM,LC001036-017,0.4057,,mg/L
8/24/2023,4:30:40 AM,LC001036-018,0.2123,,mg/L
8/24/2023,4:31:04 AM,PATRON,0.8856,,mg/L
8/24/2023,4:31:24 AM,LC001036-019,0.2287,,mg/L
8/24/2023,4:31:36 AM,LC001036-020,0.7564,,mg/L
8/24/2023,4:31:54 AM,LC001036-021,0.009,,mg/L
8/24/2023,4:32:06 AM,LC001036-022,0.9386,,mg/L
8/24/2023,4:32:18 AM,LC001036-023,0.7643,,mg/L
8/24/2023,4:32:32 AM,LC001036-024,0.2316,,mg/L
8/24/2023,4:32:50 AM,PATRON,0.8987,,mg/L
,,,,,
Método: Au AU ALTO (Llama),,,,,
