Analista,,,,,
Fecha de inicio,9/12/2023 4:12 PM  GMT: 9/12/2023 11:12 PM,,,,
Hoja de trabajo,LC001207_24,,,,
Comentario,,,,,
Métodos,"Au,Au",,,,
,,,,,
Método: Au (Llama),,,,,
,,,,,
9/12/2023,4:20:48 PM,PATRON,0.9001,,mg/L
9/12/2023,4:21:02 PM,BLANCO,0.038,,mg/L
9/12/2023,4:21:16 PM,BLANCO REACTIVO REAG,0.0511,,mg/L
9/12/2023,4:21:48 PM,LC001207-002,0.2095,,mg/L
9/12/2023,4:24:38 PM,LC001207-004,0.0886,,mg/L
9/12/2023,4:24:48 PM,LC001207-005,0.0158,,mg/L
9/12/2023,4:25:00 PM,LC001207-006,0.0729,,mg/L
9/12/2023,4:25:30 PM,PATRON,0.902,,mg/L
9/12/2023,4:25:48 PM,LC001207-007,0.2607,,mg/L
9/12/2023,4:26:00 PM,LC001207-008,0.1642,,mg/L
9/12/2023,4:26:10 PM,LC001207-009,0.1818,,mg/L
9/12/2023,4:26:22 PM,LC001207-010,0.05,,mg/L
9/12/2023,4:26:34 PM,LC001207-011,0.1111,,mg/L
9/12/2023,4:26:46 PM,LC001207-012,0.9793,,mg/L
9/12/2023,4:27:00 PM,PATRON,0.8737,,mg/L
9/12/2023,4:30:54 PM,LC001207-003,0.0168,,mg/L
9/12/2023,4:30:54 PM,PATRON,,,mg/L
9/12/2023,4:31:16 PM,PATRON,,,mg/L
9/12/2023,4:38:54 PM,LC001207-001,,,mg/L
