Analista,,,,,
Fecha de inicio,9/20/2023 2:32 AM  GMT: 9/20/2023 9:32 AM,,,,
Hoja de trabajo,LC001253-RCK_24,,,,
Comentario,,,,,
Métodos,"Au,Au",,,,
,,,,,
Método: Au (Llama),,,,,
,,,,,
9/20/2023,2:39:14 AM,BLANCO,-0.0073,,mg/L
9/20/2023,2:39:30 AM,BLANCO REACTIVO REAG,-0.0103,,mg/L
9/20/2023,2:39:50 AM,LC001253-001,0.1317,,mg/L
9/20/2023,2:40:26 AM,LC001253-004,0.1335,,mg/L
9/20/2023,2:40:38 AM,LC001253-005,0.1168,,mg/L
9/20/2023,2:40:50 AM,LC001253-006,0.0997,,mg/L
9/20/2023,2:43:32 AM,PATRON,0.9223,,mg/L
9/20/2023,2:43:44 AM,LC001253-013,0.0075,,mg/L
9/20/2023,2:43:58 AM,PATRON,0.9096,,mg/L
9/20/2023,3:19:50 AM,PATRON,0.9118,,mg/L
9/20/2023,3:20:10 AM,LC001253-007,0.0986,,mg/L
9/20/2023,3:30:44 AM,LC001253-009,0.9357,,mg/L
9/20/2023,3:30:56 AM,LC001253-010,0.1093,,mg/L
9/20/2023,3:31:08 AM,LC001253-011,1.9125,,mg/L
9/20/2023,3:31:20 AM,LC001253-012,0.1678,,mg/L
9/20/2023,12:02:08 PM,PATRON,0.8776,,mg/L
9/20/2023,12:03:12 PM,LC001253-002,0.2147,,mg/L
9/20/2023,12:03:28 PM,LC001253-003,0.0714,,mg/L
9/20/2023,12:03:52 PM,LC001253-008,0.0092,,mg/L
9/20/2023,12:04:02 PM,BLANCO,0.0131,,mg/L
9/20/2023,12:04:14 PM,BLANCO REACTIVO REAG,0.007,,mg/L
,,,,,
Método: Au AU ALTO (Llama),,,,,
