Sample ID,Analyte Name,Reported Conc (Samp)
Comp. Cabeza Columna,Ag 328.07,0.514
Comp. Cola Columna,Ag 328.07,0.263
Barren,Ag 328.07,0.298
Cabeza puntual retorno,Ag 328.07,0.492
Celda # 11-A,Ag 328.07,0.035
Celda # 11-B,Ag 328.07,0.027
Celda # 11-C,Ag 328.07,0.019
Celda # 6-F2,Ag 328.07,0.293
Celda #5-9,Ag 328.07,0.037
Celda #(F1+F2),Ag 328.07,0.499
NE Tubo 1,Ag 328.07,0.29
NE Tubo 2,Ag 328.07,0.028
NE Tubo 4,Ag 328.07,1.075
NE Tubo 5,Ag 328.07,1.056
NE Tubo 6,Ag 328.07,1.477
NE Tubo 7,Ag 328.07,0.859
Puntual Noroeste,Ag 328.07,0.667
Barren Patios,Ag 328.07,0.293
Tubo 3,Ag 328.07,0.559
Especial 1,Ag 328.07,0.028
Especial 2,Ag 328.07,0.047
Especial 3,Ag 328.07,0.03
Especial 4,Ag 328.07,0.042
Especial 5,Ag 328.07,0.038
