Analista        ,cd,,,,
Fecha de inicio 10/22/2023 2:19 PM  GMT: 10/22/2023 9:19 PM,,,,,
Hoja de trabajo LC001455_24 01,,,,,
Comentario      ,,,,,
Métodos         Au,Au,,,,
,,,,,
Método: Au (Llama),,,,,
,,,,,
10/22/2023,4:26:04 AM,PATRON,0.908,,mg/L
10/22/2023,4:26:22 AM,BLANCO,0.008,,mg/L
10/22/2023,4:26:32 AM,REAGENT BLANK,-0.015,,mg/L
10/22/2023,4:26:44 AM,LC001455-001,0.07,,mg/L
10/22/2023,4:26:54 AM,LC001455-002,0.016,,mg/L
10/22/2023,4:27:06 AM,LC001455-003,0.004,,mg/L
10/22/2023,4:27:16 AM,LC001455-004,0.001,,mg/L
10/22/2023,4:27:28 AM,LC001455-005,0.013,,mg/L
10/22/2023,4:27:42 AM,LC001455-006,-0.001,,mg/L
10/22/2023,4:28:06 AM,PATRON,0.926,,mg/L
10/22/2023,4:28:22 AM,LC001455-007,-0.002,,mg/L
10/22/2023,4:28:36 AM,LC001455-008,0.063,,mg/L
10/22/2023,4:28:48 AM,LC001455-009,0.011,,mg/L
10/22/2023,4:29:00 AM,LC001455-010,0.002,,mg/L
10/22/2023,4:29:14 AM,LC001455-011,0.001,,mg/L
10/22/2023,4:29:26 AM,LC001455-012,0.001,,mg/L
10/22/2023,4:27:42 AM,PATRON,0.897,,mg/L
10/22/2023,4:28:06 AM,LC001455-013,-0.003,,mg/L
10/22/2023,4:28:22 AM,LC001455-014,0.001,,mg/L
10/22/2023,4:28:36 AM,LC001455-015,0.008,,mg/L
10/22/2023,4:28:48 AM,LC001455-016,0.012,,mg/L
10/22/2023,4:29:00 AM,LC001455-017,0.011,,mg/L
10/22/2023,4:29:14 AM,LC001455-018,0.013,,mg/L
10/22/2023,4:29:26 AM,PATRON,0.925,,mg/L
10/22/2023,4:27:42 AM,LC001455-019,0,,mg/L
10/22/2023,4:28:06 AM,LC001455-020,0.017,,mg/L
10/22/2023,4:28:22 AM,LC001455-021,0.005,,mg/L
10/22/2023,4:28:36 AM,LC001455-022,0.119,,mg/L
10/22/2023,4:28:48 AM,LC001455-023,0.004,,mg/L
10/22/2023,4:29:00 AM,LC001455-024,-0.004,,mg/L
10/22/2023,4:29:14 AM,PATRON,0.923,,mg/L
