Analista        ,,,,,
Fecha de inicio 10/22/2023 1:26 PM  GMT: 10/22/2023 8:26 PM,,,,,
Hoja de trabajo LC001456_24,,,,,
Comentario      ,,,,,
Métodos         Au,Au,,,,
,,,,,
Método: Au (Llama),,,,,
,,,,,
10/22/2023,4:26:04 AM,PATRON,0.912,,mg/L
10/22/2023,4:26:22 AM,BLANCO,0.008,,mg/L
10/22/2023,4:26:32 AM,REAGENT BLANK,0.007,,mg/L
10/22/2023,4:26:44 AM,LC001456-001,0.014,,mg/L
10/22/2023,4:26:54 AM,LC001456-002,0.003,,mg/L
10/22/2023,4:27:06 AM,LC001456-003,0.023,,mg/L
10/22/2023,4:27:16 AM,LC001456-004,0.053,,mg/L
10/22/2023,4:27:28 AM,LC001456-005,0.006,,mg/L
10/22/2023,4:27:42 AM,LC001456-006,0.032,,mg/L
10/22/2023,4:28:06 AM,PATRON,0.91,,mg/L
10/22/2023,4:28:22 AM,LC001456-007,0.01,,mg/L
10/22/2023,4:28:36 AM,LC001456-008,0.022,,mg/L
10/22/2023,4:28:48 AM,LC001456-009,0.462,,mg/L
10/22/2023,4:29:00 AM,PATRON,0.904,,mg/L
10/22/2023,4:29:14 AM,BLANCO,-0.006,,mg/L
10/22/2023,4:29:26 AM,REAGENT BLANK,0.021,,mg/L
,,,,,
Método: Au AU ALTO (Llama),,,,,
