Analista,,,,,
Fecha de inicio,11/28/2023 11:05 AM  GMT: 11/28/2023 6:05 PM,,,,
Hoja de trabajo,LC001659-QB,,,,
Comentario,,,,,
Métodos,"Au,Au",,,,
,,,,,
Método: Au (Llama),,,,,
,,,,,
11/28/2023,12:14:54 PM,PATRON,0.9083,,mg/L
11/28/2023,12:15:10 PM,LCQB-20231124-1T,1.7627,,mg/L
11/28/2023,12:15:24 PM,LCQB-20231124-1T-002,1.8769,,mg/L
11/28/2023,12:15:36 PM,LCQB-20231124-1TMall,2.5939,,mg/L
11/28/2023,12:15:50 PM,LCQB-20231124-1T-004,1.7861,,mg/L
11/28/2023,12:16:02 PM,LCQB-20231124-1T-005,1.7927,,mg/L
11/28/2023,12:16:14 PM,LCQB-20231124-1T-006,1.1829,,mg/L
11/28/2023,12:18:02 PM,LCQB-20231124-1T-007,0.0436,,mg/L
11/28/2023,12:18:50 PM,LCQB-20231124-1T-008,-0.0005,,mg/L
,,,,,
Método: Au AU ALTO (Llama),,,,,
