Analista,,,,,
Fecha de inicio,11/28/2023 4:28 PM  GMT: 11/28/2023 11:28 PM,,,,
Hoja de trabajo,LC001664-QB_27,,,,
Comentario,,,,,
Métodos,"Au,Au",,,,
,,,,,
Método: Au (Llama),,,,,
,,,,,
11/28/2023,4:42:38 PM,PATRON,0.9041,,mg/L
11/28/2023,4:43:02 PM,LCQB-20231127-1T,2.0537,,mg/L
11/28/2023,4:43:16 PM,LCQB-20231127-1T-002,1.2494,,mg/L
11/28/2023,4:43:30 PM,LCQB-20231127-1TMalla+200,2.6054,,mg/L
11/28/2023,4:43:42 PM,LCQB-20231127-1T-004,1.2143,,mg/L
11/28/2023,4:43:56 PM,LCQB-20231127-1T-005,1.153,,mg/L
11/28/2023,4:44:08 PM,LCQB-20231127-1T-006,1.1926,,mg/L
11/28/2023,4:44:22 PM,LCQB-20231127-1T-007,0.9913,,mg/L
11/28/2023,4:45:48 PM,LCQB-20231127-1T-008,1.3054,,mg/L
11/28/2023,4:46:50 PM,LCQB-20231127-1T-009,0.0058,,mg/L
,,,,,
Método: Au AU ALTO (Llama),,,,,
