Sample ID,Analyte Name,Reported Conc (Samp)
PATRON,Au 242.80,0.406
LCQB-20231127-1T,Au 242.80,0.302
LCQB-20231127-1T-002,Au 242.80,0.308
LCQB-20231127-1T-003,Au 242.80,0.263
LCQB-20231127-1T-004,Au 242.80,0.242
LCQB-20231127-1T-005,Au 242.80,0.216
LCQB-20231127-1T-006,Au 242.80,0.219
LCQB-20231127-1T-007,Au 242.80,0.000
LCQB-20231127-1T,Untitled 000,2.368
LCQB-20231127-1T-002,Untitled 000,2.345
LCQB-20231127-1T-003,Untitled 000,2.380
LCQB-20231127-1T-004,Untitled 000,2.277
LCQB-20231127-1T-005,Untitled 000,2.046
LCQB-20231127-1T-006,Untitled 000,0.019
LCQB-20231127-1T-007,Untitled 000,0.014
LCQB-20231127-1T,Cu 324.75,11.20
LCQB-20231127-1T-002,Cu 324.75,11.29
LCQB-20231127-1T-003,Cu 324.75,11.39
LCQB-20231127-1T-004,Cu 324.75,10.79
LCQB-20231127-1T-005,Cu 324.75,9.991
LCQB-20231127-1T-006,Cu 324.75,0.869
LCQB-20231127-1T-007,Cu 324.75,0.003
