Analista,,,,,
Fecha de inicio,11/21/2023 6:09 PM  GMT: 11/22/2023 1:09 AM,,,,
Hoja de trabajo,LC001785-MM_27,,,,
Comentario,,,,,
Métodos,"Au,Au",,,,
,,,,,
Método: Au (Llama),,,,,
,,,,,
11/21/2023,6:12:00 PM,PATRON,0.9,,mg/L
11/21/2023,6:12:12 PM,CABEZA COMP. NOV. 140,1.697,,mg/L
11/21/2023,6:12:20 PM,CABEZA COMP. NOV. 140-002,2.432,,mg/L
11/21/2023,6:12:36 PM,CABEZA COMP. NOV. 140Malla+200,8.63,,mg/L
11/21/2023,6:12:46 PM,CABEZA COMP. NOV. 140-004,1.184,,mg/L
11/21/2023,6:12:58 PM,CABEZA COMP. NOV. 140-005,1.152,,mg/L
11/21/2023,6:13:08 PM,CABEZA COMP. NOV. 140-006,1.159,,mg/L
11/21/2023,6:13:20 PM,CABEZA COMP. NOV. 140-007,1.257,,mg/L
11/21/2023,6:13:32 PM,CABEZA COMP. NOV. 140-008,1.294,,mg/L
11/21/2023,6:13:32 PM,CABEZA COMP. NOV. 140-009,0.156,,mg/L
11/21/2023,6:12:00 PM,CABEZA COMP. NOV. 140-010,1.401,,mg/L
11/21/2023,6:12:12 PM,CABEZA COMP. NOV. 140-011,0.001,,mg/L
11/21/2023,6:12:20 PM,CABEZA COMP. NOV. -140,3.574,,mg/L
11/21/2023,6:12:36 PM,CABEZA COMP. NOV. -140-002,3.19,,mg/L
11/21/2023,6:12:46 PM,CABEZA COMP. NOV. -140Malla+200,2.538,,mg/L
11/21/2023,6:12:58 PM,CABEZA COMP. NOV. -140-004,2.521,,mg/L
11/21/2023,6:13:08 PM,CABEZA COMP. NOV. -140-005,2.828,,mg/L
11/21/2023,6:13:20 PM,CABEZA COMP. NOV. -140-006,2.582,,mg/L
11/21/2023,6:13:32 PM,CABEZA COMP. NOV. -140-007,2.921,,mg/L
11/21/2023,6:13:32 PM,CABEZA COMP. NOV. -140-008,0.928,,mg/L
11/21/2023,6:12:00 PM,CABEZA COMP. NOV. -140-009,1.362,,mg/L
11/21/2023,6:12:12 PM,CABEZA COMP. NOV. -140-010,0.013,,mg/L
