Sample ID,Analyte Name,Reported Conc (Samp)
CABEZA COMP. NOV. 1/2,Au,0.272
CABEZA COMP. NOV. 1/2-002,Au,0.274
CABEZA COMP. NOV. 3/8,Au,0.233
CABEZA COMP. NOV. 3/8-003,Au,0.264
CABEZA COMP. NOV. 1/4,Au,0.244
CABEZA COMP. NOV. 1/4-004,Au,0.213
CABEZA COMP. NOV. 10,Au,0.19
CABEZA COMP. NOV. 10-005,Au,0.244
CABEZA COMP. NOV. 10-006,Au,0.235
CABEZA COMP. NOV. 10-007,Au,0
CABEZA COMP. NOV. 50,Au,0.209
CABEZA COMP. NOV. 50-008,Au,0.229
CABEZA COMP. NOV. 100,Au,0.86
CABEZA COMP. NOV. 100-009,Au,0.552
CABEZA COMP. NOV. 140,Au,0.168
CABEZA COMP. NOV. 140-010,Au,0.265
CABEZA COMP. NOV. -140,Au,0.762
CABEZA COMP. NOV. -140-011,Au,0.454
CABEZA COMP. NOV. -140-012,Au,0.226
CABEZA COMP. NOV. -140-013,Au,0
CABEZA COMP. NOV. 1/2,Ag,2.97
CABEZA COMP. NOV. 1/2-002,Ag,2.93
CABEZA COMP. NOV. 3/8,Ag,2.509
CABEZA COMP. NOV. 3/8-003,Ag,2.46
CABEZA COMP. NOV. 1/4,Ag,2.719
CABEZA COMP. NOV. 1/4-004,Ag,2.698
CABEZA COMP. NOV. 10,Ag,2.382
CABEZA COMP. NOV. 10-005,Ag,2.417
CABEZA COMP. NOV. 10-006,Ag,0.019
CABEZA COMP. NOV. 10-007,Ag,0
CABEZA COMP. NOV. 50,Ag,2.399
CABEZA COMP. NOV. 50-008,Ag,2.283
CABEZA COMP. NOV. 100,Ag,2.097
CABEZA COMP. NOV. 100-009,Ag,1.834
CABEZA COMP. NOV. 140,Ag,1.625
CABEZA COMP. NOV. 140-010,Ag,1.69
CABEZA COMP. NOV. -140,Ag,1.864
CABEZA COMP. NOV. -140-011,Ag,1.683
CABEZA COMP. NOV. -140-012,Ag,0.034
CABEZA COMP. NOV. -140-013,Ag,0
CABEZA COMP. NOV. 1/2,Cu,7.727
CABEZA COMP. NOV. 1/2-002,Cu,7.599
CABEZA COMP. NOV. 3/8,Cu,6.867
CABEZA COMP. NOV. 3/8-003,Cu,6.581
CABEZA COMP. NOV. 1/4,Cu,9.365
CABEZA COMP. NOV. 1/4-004,Cu,9.476
CABEZA COMP. NOV. 10,Cu,11.27
CABEZA COMP. NOV. 10-005,Cu,11.44
CABEZA COMP. NOV. 10-006,Cu,1.03
CABEZA COMP. NOV. 10-007,Cu,0
CABEZA COMP. NOV. 50,Cu,18.2
CABEZA COMP. NOV. 50-008,Cu,17.07
CABEZA COMP. NOV. 100,Cu,19.56
CABEZA COMP. NOV. 100-009,Cu,18.32
CABEZA COMP. NOV. 140,Cu,18.41
CABEZA COMP. NOV. 140-010,Cu,18.68
CABEZA COMP. NOV. -140,Cu,28.4
CABEZA COMP. NOV. -140-011,Cu,27.94
CABEZA COMP. NOV. -140-012,Cu,0.963
CABEZA COMP. NOV. -140-013,Cu,0
