Sample ID,Analyte Name,Reported Conc (Samp)
SA-037,Untitled 000,0.095
SA-038,Untitled 000,0.022
SA-039,Untitled 000,0.08
SA-040,Untitled 000,0.031
SA-041,Untitled 000,0.024
SA-042,Untitled 000,0.031
SA-037,Cd 228.80,0.033
SA-038,Cd 228.80,0.034
SA-039,Cd 228.80,0.029
SA-040,Cd 228.80,0.031
SA-041,Cd 228.80,0.027
SA-042,Cd 228.80,0.031
SA-037,Pb 283.31,0.01
SA-038,Pb 283.31,0.009
SA-039,Pb 283.31,0.023
SA-040,Pb 283.31,0.025
SA-041,Pb 283.31,0.007
SA-042,Pb 283.31,0.017
SA-037,Cu 324.75,53.68
SA-038,Cu 324.75,53.9
SA-039,Cu 324.75,52.38
SA-040,Cu 324.75,53.52
SA-041,Cu 324.75,52.78
SA-042,Cu 324.75,53.08
