Sample ID,Analyte Name,Reported Conc (Samp)
SAMC-020,Fe,0.016
SAMC-021,Fe,0.021
SAMC-022,Fe,0.031
SAMC-023,Fe,0.03
SAMC-024,Fe,0.029
SAMC-025,Fe,0.034
SAMC-020,Cd,0.009
SAMC-021,Cd,0.011
SAMC-022,Cd,0.011
SAMC-023,Cd,0.259
SAMC-024,Cd,0.249
SAMC-025,Cd,0.264
SAMC-020,Pb,1.485
SAMC-021,Pb,1.725
SAMC-022,Pb,1.647
SAMC-023,Pb,1.722
SAMC-024,Pb,1.659
SAMC-025,Pb,1.65
SAMC-020,Cu,5.906
SAMC-021,Cu,5.934
SAMC-022,Cu,6.029
SAMC-023,Cu,9.314
SAMC-024,Cu,9.148
SAMC-025,Cu,9.296
SAMC-020,Zn,3.814
SAMC-021,Zn,4.113
SAMC-022,Zn,3.904
SAMC-023,Zn,3.699
SAMC-024,Zn,3.869
SAMC-025,Zn,3.734
