Comp. Cabeza Columna,Cu 324.75,0.83
Comp. Cola Columna,Cu 324.75,0.784
Barren,Cu 324.75,1.109
Cabeza puntual retorno,Cu 324.75,0.646
Celda # 11-A,Cu 324.75,0.083
Celda # 11-B,Cu 324.75,1.212
Celda # 11-C,Cu 324.75,0.341
Celda #5-9,Cu 324.75,3.84
Celda #(F1+F2),Cu 324.75,0.691
NE Tubo 1,Cu 324.75,0.042
NE Tubo 2,Cu 324.75,0.066
NE Tubo 4,Cu 324.75,0.176
NE Tubo 5,Cu 324.75,0.032
NE Tubo 6,Cu 324.75,0.025
NE Tubo 7,Cu 324.75,1.639
Puntual Noroeste,Cu 324.75,0.605
Barren Patios,Cu 324.75,0.996
Tubo 3,Cu 324.75,0.884
Especial 1,Cu 324.75,0.407
Especial 2,Cu 324.75,0.355
Especial 3,Cu 324.75,0.068
Especial 4,Cu 324.75,0.076
Especial 5,Cu 324.75,0.054
Columna #1,Cu 324.75,0.792
Columna #2,Cu 324.75,0.754
Columna #3,Cu 324.75,0.742
Columna #4,Cu 324.75,0.712
Columna #5,Cu 324.75,0.682
