Sample ID,Analyte Name,Reported Conc (Samp)
Columna #1,Untitled 000,1.584
Columna #2,Untitled 000,1.540
Columna #3,Untitled 000,1.493
Columna #4,Untitled 000,1.439
Columna #5,Untitled 000,1.366
Comp. Cabeza Columna,Untitled 000,1.459
Comp. Cola Columna,Untitled 000,1.288
Barren,Untitled 000,1.301
Cabeza puntual retorno,Untitled 000,1.524
Celda # 11-B,Untitled 000,0.042
Celda # 11-C,Untitled 000,0.029
Celda # 11-A,Untitled 000,0.034
Celda #(F1+F2),Untitled 000,1.140
NE Tubo 1,Untitled 000,0.111
NE Tubo 2,Untitled 000,0.044
NE Tubo 4,Untitled 000,0.051
NE Tubo 5,Untitled 000,0.085
NE Tubo 6,Untitled 000,0.031
NE Tubo 7,Untitled 000,0.415
Puntual Noroeste,Untitled 000,1.179
Barren Patios,Untitled 000,1.119
Tubo 3,Untitled 000,1.686
Especial 1,Untitled 000,2.742
Especial 2,Untitled 000,3.566
Especial 3,Untitled 000,0.100
Especial 4,Untitled 000,0.042
Especial 5,Untitled 000,3.933
