Analyst,,,,,
Date Started,12/7/2024 11:55 PM  GMT: 12/8/2024 6:55 AM,,,,
Worksheet,LC003338-MM_27,,,,
Comment,,,,,
Methods,"Au,Au",,,,
,,,,,
Method: Au (Flame),,,,,
,,,,,
12/8/2024,12:24:56 AM,PATRON,0.9044,,mg/L
12/8/2024,12:25:20 AM,COLA 24-LCWD-17-2,1.0446,,mg/L
12/8/2024,12:25:30 AM,COLA 24-LCWD-17-2-002,0.4053,,mg/L
12/8/2024,12:25:46 AM,COLA 24-LCWD-17-2Malla+200,1.912,,mg/L
12/8/2024,12:26:02 AM,COLA 24-LCWD-17-2-004,0.4062,,mg/L
12/8/2024,12:26:26 AM,COLA 24-LCWD-17-2-005,1.359,,mg/L
12/8/2024,12:27:12 AM,COLA 24-LCWD-17-2-006,0.00001,,mg/L
12/8/2024,12:27:28 AM,COLA 24-LCWD-17-3,0.1901,,mg/L
12/8/2024,12:27:38 AM,COLA 24-LCWD-17-3-002,0.1969,,mg/L
12/8/2024,12:27:50 AM,COLA 24-LCWD-17-3Malla+200,0.1854,,mg/L
12/8/2024,12:28:04 AM,COLA 24-LCWD-17-3-004,1.359,,mg/L
12/8/2024,12:28:14 AM,COLA 24-LCWD-17-3-005,0.0001,,mg/L
,,,,,
Method: Au AU ALTO (Flame),,,,,
