Analyst,,,,,
Date Started,12/7/2024 5:49 AM  GMT: 12/7/2024 12:49 PM,,,,
Worksheet,LC003339-MM_27,,,,
Comment,,,,,
Methods,"Au,Au",,,,
,,,,,
Method: Au (Flame),,,,,
,,,,,
12/7/2024,6:00:54 AM,PATRON,0.8872,,mg/L
12/7/2024,6:01:14 AM,COLA 24-LCWD-17-4,0.7605,,mg/L
12/7/2024,6:01:26 AM,COLA 24-LCWD-17-4-002,0.7461,,mg/L
12/7/2024,6:01:42 AM,COLA 24-LCWD-17-4Malla+200,0.7219,,mg/L
12/7/2024,6:01:58 AM,COLA 24-LCWD-17-4-004,1.0067,,mg/L
12/7/2024,6:02:10 AM,COLA 24-LCWD-17-4-005,0.7563,,mg/L
12/7/2024,6:02:22 AM,COLA 24-LCWD-17-4-006,0.7027,,mg/L
12/7/2024,6:02:36 AM,COLA 24-LCWD-17-4-007,0.2108,,mg/L
12/7/2024,6:02:48 AM,COLA 24-LCWD-17-4-008,1.359,,mg/L
12/7/2024,6:03:00 AM,COLA 24-LCWD-17-4-009,0.0116,,mg/L
12/7/2024,6:03:14 AM,COLA 24-LCWD-18-1,0.6995,,mg/L
12/7/2024,6:03:26 AM,COLA 24-LCWD-18-1-002,0.4671,,mg/L
12/7/2024,6:03:44 AM,COLA 24-LCWD-18-1Malla+200,0.7145,,mg/L
12/7/2024,6:03:54 AM,COLA 24-LCWD-18-1-004,0.3604,,mg/L
12/7/2024,6:04:06 AM,COLA 24-LCWD-18-1-005,0.3248,,mg/L
12/7/2024,6:04:16 AM,COLA 24-LCWD-18-1-006,0.2948,,mg/L
12/7/2024,6:04:28 AM,COLA 24-LCWD-18-1-007,0.2244,,mg/L
12/7/2024,6:04:40 AM,COLA 24-LCWD-18-1-008,1.359,,mg/L
12/7/2024,6:05:14 AM,COLA 24-LCWD-18-1-009,0.0155,,mg/L
,,,,,
Method: Au AU ALTO (Flame),,,,,
