Analyst,CD,,,,
Date Started,1/16/2025 5:05 AM  GMT: 1/16/2025 12:05 PM,,,,
Worksheet,LC003516_24,,,,
Comment,,,,,
Methods,"Au,Au",,,,
,,,,,
Method: Au (Flame),,,,,
,,,,,
1/16/2025,5:15:48 AM,PATRON,0.9107,,mg/L
1/16/2025,5:16:02 AM,BLANCO,0.0261,,mg/L
1/16/2025,5:16:14 AM,REAGENT BLANK,0,,mg/L
1/16/2025,5:16:30 AM,LC003516-001,0.0602,,mg/L
1/16/2025,5:16:42 AM,LC003516-002,0.0035,,mg/L
1/16/2025,5:16:56 AM,LC003516-003,0.0492,,mg/L
1/16/2025,5:17:08 AM,LC003516-004,0.0019,,mg/L
1/16/2025,5:17:20 AM,LC003516-005,0.2438,,mg/L
1/16/2025,5:17:34 AM,LC003516-006,0.0654,,mg/L
1/16/2025,5:17:48 AM,PATRON,0.9132,,mg/L
1/16/2025,5:18:04 AM,LC003516-007,0.0641,,mg/L
1/16/2025,5:18:18 AM,LC003516-008,0.1061,,mg/L
1/16/2025,5:18:30 AM,LC003516-009,0.1064,,mg/L
1/16/2025,5:19:36 AM,PATRON,0.895,,mg/L
1/16/2025,5:21:44 AM,LC003516-010,0.9695,,mg/L
1/16/2025,5:21:56 AM,BLANCO,-0.0827,,mg/L
,,,,,
Method: Au AU ALTO (Flame),,,,,
