Sample ID,Analyte Name,Reported Conc (Calib),,,,,
Comp. Cabeza Columna,Au 242.80,0.106,,,,,
NE Tubo 6,Au 242.80,0.246,,,,,
Cabeza puntual retorno,Au 242.80,0.104,,,,,
Puntual Noroeste,Au 242.80,0.117,,,,,
Celda #(F1+F2),Au 242.80,0.118,,,,,
Tubo 3,Au 242.80,0.123,,,,,
Especial 1,Au 242.80,0.074,,,,,
Especial 2,Au 242.80,0.076,,,,,
Especial 3,Au 242.80,0.013,,,,,
Especial 4,Au 242.80,0.024,,,,,
Especial 5,Au 242.80,0.085,,,,,
Especial 6,Au 242.80,0.012,,,,,º
Comp. Cola Columna,Au 242.80,0.01,,,,,
Barren,Au 242.80,0.008,,,,,
Celda # 11-A,Au 242.80,0.002,,,,,
Celda # 11-B,Au 242.80,0.003,,,,,
Celda # 11-C,Au 242.80,0.002,,,,,
Celda #5-9,Au 242.80,0.056,,,,,
NE Tubo 4,Au 242.80,0.057,,,,,
NE Tubo 2,Au 242.80,0.101,,,,,
NE Tubo 5,Au 242.80,0.084,,,,,
NE Tubo 7,Au 242.80,0.049,,,,,
Barren Patios,Au 242.80,0.005,,,,,
NE Tubo 1,Au 242.80,0.003,,,,,
Columna #1,Au 242.80,0.078,,,,,
Columna #2,Au 242.80,0.047,,,,,
Columna #3,Au 242.80,0.029,,,,,
Columna #4,Au 242.80,0.009,,,,,
Columna #5,Au 242.80,0.005,,,,,
