Comp. Cabeza Columna,Untitled 000,2.001
Comp. Cola Columna,Untitled 000,1.204
Barren,Untitled 000,1.175
Cabeza puntual retorno,Untitled 000,2.028
Celda # 11-A,Untitled 000,0.276
Celda # 11-B,Untitled 000,0.046
Celda # 11-C,Untitled 000,0.033
Celda # 6-F2,Untitled 000,0.035
Celda #5-9,Untitled 000,0.694
Celda #(F1+F2),Untitled 000,2.376
NE Tubo 1,Untitled 000,0.033
NE Tubo 2,Untitled 000,1.274
NE Tubo 4,Untitled 000,2.582
NE Tubo 5,Untitled 000,1.662
NE Tubo 6,Untitled 000,2.848
NE Tubo 7,Untitled 000,0.479
Puntual Noroeste,Untitled 000,2.405
Barren Patios,Untitled 000,1.246
Tubo 3,Untitled 000,2.393
Especial 1,Untitled 000,0.157
Especial 2,Untitled 000,0.036
Especial 3,Untitled 000,0.309
Especial 4,Untitled 000,1.39
Especial 5,Untitled 000,0.078
