Sample ID,Analyte Name,Reported Conc (Samp)
Columna #1,Cu 324.75,2.583
Columna #2,Cu 324.75,2.58
Columna #3,Cu 324.75,2.546
Columna #4,Cu 324.75,2.557
Columna #5,Cu 324.75,2.557
Comp. Cabeza Columna,Cu 324.75,2.496
Comp. Cola Columna,Cu 324.75,2.347
Barren,Cu 324.75,2.466
Cabeza puntual retorno,Cu 324.75,2.442
Celda # 11-A,Cu 324.75,0.442
Celda # 11-B,Cu 324.75,0.035
Celda # 11-C,Cu 324.75,0.028
Celda #5-9,Cu 324.75,2.66
Celda #(F1+F2),Cu 324.75,2.452
NE Tubo 1,Cu 324.75,0.116
NE Tubo 2,Cu 324.75,0.085
NE Tubo 4,Cu 324.75,1.642
NE Tubo 5,Cu 324.75,9.183
NE Tubo 6,Cu 324.75,6.199
NE Tubo 7,Cu 324.75,0.687
Puntual Noroeste,Cu 324.75,2.276
Barren Patios,Cu 324.75,2.036
Tubo 3,Cu 324.75,1.716
Especial 1,Cu 324.75,0.587
Especial 2,Cu 324.75,0.014
Especial 3,Cu 324.75,0.917
Especial 4,Cu 324.75,3.164
Especial 5,Cu 324.75,0.338
