Analyst,RG,,,,
Date Started,2/5/2025 12:17 AM  GMT: 2/5/2025 7:17 AM,,,,
Worksheet,LC003664_24,,,,
Comment,,,,,
Methods,"Au,Au",,,,
,,,,,
Method: Au (Flame),,,,,
,,,,,
2/5/2025,1:26:56 AM,PATRON,0.897,,mg/L
2/5/2025,1:27:16 AM,BLANCO,-0.0036,,mg/L
2/5/2025,1:27:28 AM,REAGENT BLANK,0,,mg/L
2/5/2025,1:27:48 AM,LC003664-001,0.1968,,mg/L
2/5/2025,1:28:20 AM,LC003664-003,0.0597,,mg/L
2/5/2025,1:33:12 AM,LC003664-004,0.0506,,mg/L
2/5/2025,1:33:28 AM,LC003664-005,0.1381,,mg/L
2/5/2025,1:33:42 AM,LC003664-006,-0.0008,,mg/L
2/5/2025,1:34:02 AM,PATRON,0.8859,,mg/L
2/5/2025,1:34:16 AM,LC003664-007,0.029,,mg/L
2/5/2025,1:34:36 AM,LC003664-008,0.0871,,mg/L
2/5/2025,1:34:50 AM,LC003664-009,0.0587,,mg/L
2/5/2025,1:35:06 AM,LC003664-010,0.0114,,mg/L
2/5/2025,1:35:22 AM,LC003664-011,0.0975,,mg/L
2/5/2025,1:35:38 AM,LC003664-012,0.0256,,mg/L
2/5/2025,1:35:58 AM,PATRON,0.8855,,mg/L
2/5/2025,1:36:14 AM,LC003664-013,-0.0007,,mg/L
2/5/2025,1:36:30 AM,LC003664-014,0.9274,,mg/L
2/5/2025,1:36:42 AM,PATRON,0.8837,,mg/L
2/5/2025,1:37:00 AM,BLANCO,-0.0084,,mg/L
2/5/2025,1:37:10 AM,REAGENT BLANK,0,,mg/L
2/5/2025,1:52:52 AM,LC003664-002,0.0011,,mg/L
,,,,,
Method: Au AU ALTO (Flame),,,,,
