Analyst,,,,,
Date Started,2/19/2025 8:47 PM  GMT: 2/20/2025 3:47 AM,,,,
Worksheet,LC003787-RCK,,,,
Comment,,,,,
Methods,"Au,Au",,,,
,,,,,
Method: Au (Flame),,,,,
,,,,,
2/19/2025,9:36:02 PM,PATRON,0.8981,,mg/L
2/19/2025,9:36:16 PM,BLANCO,-0.001,,mg/L
2/19/2025,9:36:28 PM,REAGENT BLANK,0,,mg/L
2/19/2025,9:36:40 PM,LC003787--001,OVER,R,mg/L
2/19/2025,9:36:48 PM,LC003787--002,OVER,R,mg/L
2/19/2025,9:37:28 PM,LC003787--005,0.4664,,mg/L
2/19/2025,9:40:52 PM,LC003787--003,0.0016,,mg/L
2/19/2025,9:41:02 PM,LC003787--004,-0.0003,,mg/L
2/19/2025,9:41:16 PM,PATRON,0.8791,,mg/L
2/19/2025,9:41:34 PM,BLANCO,-0.0022,,mg/L
2/19/2025,9:41:48 PM,REAGENT BLANK,0,,mg/L
,,,,,
Method: Au AU ALTO (Flame),,,,,
,,,,,
,,,,,
2/19/2025,9:48:24 PM,LC003787--001,12.8001,,mg/L
2/19/2025,9:48:36 PM,LC003787--002,14.5609,,mg/L
