Analyst,,,,,
Date Started,2/21/2025 8:51 PM  GMT: 2/22/2025 3:51 AM,,,,
Worksheet,LC003798_24,,,,
Comment,,,,,
Methods,"Au,Au",,,,
,,,,,
Method: Au (Flame),,,,,
,,,,,
2/21/2025,9:23:34 PM,PATRON,0.9103,,mg/L
2/21/2025,9:24:04 PM,BLANCO,-0.0061,,mg/L
2/21/2025,9:24:22 PM,REAGENT BLANK,0,,mg/L
2/21/2025,9:24:38 PM,LC003798-001,0.193,,mg/L
2/21/2025,9:24:54 PM,LC003798-002,0.0013,,mg/L
2/21/2025,9:25:08 PM,LC003798-003,0.4525,,mg/L
2/21/2025,9:25:26 PM,LC003798-004,0.694,,mg/L
2/21/2025,9:25:40 PM,LC003798-005,0.3229,,mg/L
2/21/2025,9:25:56 PM,LC003798-006,0.2919,,mg/L
2/21/2025,9:26:56 PM,PATRON,0.9146,,mg/L
2/21/2025,9:27:14 PM,LC003798-007,OVER,R,mg/L
2/21/2025,9:27:30 PM,LC003798-008,0.0032,,mg/L
2/21/2025,9:27:42 PM,LC003798-009,0.2088,,mg/L
2/21/2025,9:27:54 PM,LC003798-010,0.2153,,mg/L
2/21/2025,9:28:08 PM,LC003798-011,0.0272,,mg/L
2/21/2025,9:28:20 PM,LC003798-012,0.2602,,mg/L
2/21/2025,9:28:38 PM,PATRON,0.9047,,mg/L
2/21/2025,9:28:56 PM,LC003798-013,0.0004,,mg/L
2/21/2025,9:29:08 PM,LC003798-014,0.3602,,mg/L
2/21/2025,9:29:20 PM,LC003798-015,0.9869,,mg/L
2/21/2025,9:29:38 PM,PATRON,0.8996,,mg/L
2/21/2025,9:30:00 PM,BLANCO,-0.0046,,mg/L
2/21/2025,9:30:22 PM,REAGENT BLANK,0,,mg/L
,,,,,
Method: Au AU ALTO (Flame),,,,,
,,,,,
,,,,,
2/21/2025,9:33:22 PM,LC003798-007,3.0896,,mg/L
