Analyst,,,,,,
Date Started,2/26/2025 3:50 PM  GMT: 2/26/2025 10:50 PM,,,,,
Worksheet,LC003850-RE_24,,,,,
Comment,,,,,,
Methods,"Au,Au",,,,,
,,,,,,
Method: Au (Flame),,,,,,
,,,,,,
2/26/2025,4:25:36 PM,PATRON,0.9181,,mg/L,0.2
2/26/2025,4:25:52 PM,BLANCO,-0.0009,,mg/L,>100
2/26/2025,4:26:02 PM,REAGENT BLANK,0,,mg/L,>100
2/26/2025,4:26:18 PM,LC003845-003,0.2614,,mg/L,1
2/26/2025,4:26:32 PM,LC003845-004,0.0657,,mg/L,3.1
2/26/2025,4:26:48 PM,LC003845-005,0.1834,,mg/L,2.7
2/26/2025,4:27:02 PM,LC003845-006,0.1319,,mg/L,0.4
2/26/2025,4:27:16 PM,LC003845-008,0.1653,,mg/L,0.8
2/26/2025,4:27:32 PM,LC003845-009,0.1366,,mg/L,1.5
2/26/2025,4:27:48 PM,PATRON,0.9127,,mg/L,0.7
2/26/2025,4:28:04 PM,LC003845-011,0.485,,mg/L,0.7
2/26/2025,4:28:18 PM,PATRON,0.9122,,mg/L,2
2/26/2025,4:28:36 PM,BLANCO,0.0035,,mg/L,52.5
2/26/2025,4:28:48 PM,REAGENT BLANK,0,,mg/L,72.6
,,,,,,
Method: Au AU ALTO (Flame),,,,,,
