Analyst,,,,,
Date Started,3/24/2025 4:10 AM  GMT: 3/24/2025 11:10 AM,,,,
Worksheet,LC004071-RCK_24,,,,
Comment,,,,,
Methods,"Au,Au",,,,
,,,,,
Method: Au (Flame),,,,,
,,,,,
3/24/2025,5:04:48 AM,PATRON,0.896,,mg/L
3/24/2025,5:05:12 AM,BLANCO,0,,mg/L
3/24/2025,5:05:26 AM,REAGENT BLANK,0,,mg/L
3/24/2025,5:05:40 AM,LC004071--001,0.1046,,mg/L
3/24/2025,5:05:52 AM,LC004071--002,0.1042,,mg/L
3/24/2025,5:06:06 AM,LC004071--003,0.0985,,mg/L
3/24/2025,5:06:34 AM,LC004071--004,0,,mg/L
3/24/2025,5:11:44 AM,LC004071--005,0,,mg/L
3/24/2025,5:12:06 AM,LC004071--006,0.0661,,mg/L
3/24/2025,5:12:20 AM,PATRON,0.9,,mg/L
3/24/2025,5:04:48 AM,LC004071--007,0.1211,,mg/L
3/24/2025,5:05:12 AM,LC004071--008,0.1211,,mg/L
3/24/2025,5:05:26 AM,LC004071--009,0.259,,mg/L
3/24/2025,5:05:40 AM,LC004071--010,0.123,,mg/L
3/24/2025,5:05:52 AM,LC004071--011,0.456,,mg/L
3/24/2025,5:06:06 AM,PATRON,0.9,,mg/L
3/24/2025,5:06:34 AM,BLANCO,0,,mg/L
3/24/2025,5:11:44 AM,REAGENT BLANK,0,,mg/L
