Analyst,CD,,,,,
Date Started,3/30/2025 11:30 PM  GMT: 3/30/2025 11:51 PM,,,,,
Worksheet,LC004116_24,,,,,
Comment,,,,,,
Methods,"Au,Au",,,,,
,,,,,,
Method: Au (Flame),,,,,,
,,,,,,
3/30/2025,11:30:34 PM,PATRON,0.8994,,mg/L,0.6
3/30/2025,11:31:34 PM,BLANCO,0.0156,,mg/L,5.8
3/30/2025,11:32:34 PM,REAGENT BLANK,0,,mg/L,17.9
3/30/2025,11:33:34 PM,LC004116-001,0.6316,,mg/L,1.3
3/30/2025,11:34:34 PM,LC004116-002,0.1749,,mg/L,2.2
3/30/2025,11:35:34 PM,LC004116-003,0.2958,,mg/L,1.1
3/30/2025,11:36:34 PM,LC004116-004,0.0666,,mg/L,1.6
3/30/2025,11:37:34 PM,LC004116-005,0.0045,,mg/L,6.3
3/30/2025,11:38:34 PM,LC004116-006,0.4666,,mg/L,0.8
3/30/2025,11:39:34 PM,LC004116-007,0.1567,,mg/L,1.1
3/30/2025,11:40:34 PM,PATRON,0.8878,,mg/L,0.6
3/30/2025,11:41:34 PM,LC004116-008,0.3565,,mg/L,1.3
3/30/2025,11:42:34 PM,LC004116-009,0.3008,,mg/L,1.3
3/30/2025,11:43:34 PM,LC004116-010,0.2156,,mg/L,20.5
3/30/2025,11:44:34 PM,LC004116-011,0.0057,,mg/L,0.8
3/30/2025,11:45:34 PM,LC004116-012,0.3671,,mg/L,17.7
3/30/2025,11:46:34 PM,LC004116-013,0.0063,,mg/L,1.2
3/30/2025,11:47:34 PM,LC004116-014,2.356,,mg/L,1.2
3/30/2025,11:48:34 PM,LC004116-015,0.923,,mg/L,0.5
3/30/2025,11:49:34 PM,PATRON,0.8906,,mg/L,0.7
,,,,,,
Method: Au AU ALTO (Flame),,,,,,
,,,,,,
,,,,,,
3/30/2025,11:51:58 AM,LC004116-014,2.03,,mg/L,1.2
