Analyst,CD,,,,,
Date Started,4/4/2025 12:14 PM  GMT: 4/4/2025 7:14 PM,,,,,
Worksheet,LC004153-RE_24,,,,,
Comment,,,,,,
Methods,"Au,Au",,,,,
,,,,,,
Method: Au (Flame),,,,,,
,,,,,,
4/4/2025,12:21:52 PM,BLANCO,-0.0018,,mg/L,>100
4/4/2025,12:22:02 PM,REAGENT BLANK,0,,mg/L,>100
4/4/2025,12:22:14 PM,LC004148-006,0.2895,,mg/L,0.8
4/4/2025,12:22:26 PM,LC004148-007,0.0026,,mg/L,>100
4/4/2025,12:22:38 PM,LC004148-009,0.2214,,mg/L,1.3
4/4/2025,12:23:06 PM,PATRON,0.9,,mg/L,0.6
4/4/2025,1:09:26 PM,BLANCO,0.0036,,mg/L,74.5
4/4/2025,1:12:10 PM,PATRON,0.911,,mg/L,0.4
4/4/2025,1:12:32 PM,LC004148-012,0.93,,mg/L,1.7
4/4/2025,1:12:32 PM,REAGENT BLANK,,,mg/L,
,,,,,,
Method: Au AU ALTO (Flame),,,,,,
