Analyst,,,,,,
Date Started,4/10/2025 4:23 AM  GMT: 4/10/2025 11:23 AM,,,,,
Worksheet,LC004202_24,,,,,
Comment,,,,,,
Methods,"Au,Au",,,,,
,,,,,,
Method: Au (Flame),,,,,,
,,,,,,
4/10/2025,4:56:30 AM,BLANCO,0.0066,,mg/L,>100
4/10/2025,4:56:40 AM,REAGENT BLANK,0,,mg/L,57.9
4/10/2025,4:57:00 AM,LC004202-001,0.101,,mg/L,0.6
4/10/2025,4:57:14 AM,LC004202-002,0.0163,,mg/L,3.2
4/10/2025,4:57:28 AM,LC004202-003,-0.0001,,mg/L,>100
4/10/2025,4:57:56 AM,LC004202-005,0.0149,,mg/L,8.3
4/10/2025,5:03:16 AM,PATRON,0.9113,,mg/L,0.4
4/10/2025,5:03:32 AM,LC004202-006,0.0151,,mg/L,5.6
4/10/2025,5:03:48 AM,PATRON,0.9107,,mg/L,0.5
4/10/2025,5:04:02 AM,LC004202-007,0.0198,,mg/L,3.8
4/10/2025,5:04:16 AM,LC004202-008,0.451,,mg/L,0.3
4/10/2025,5:04:32 AM,PATRON,0.9167,,mg/L,0.7
4/10/2025,5:05:18 AM,REAGENT BLANK,0,,mg/L,15
4/10/2025,5:09:24 AM,BLANCO,0.0072,,mg/L,28.1
4/10/2025,5:09:56 AM,LC004202-004,0.0009,,mg/L,>100
,,,,,,
Method: Au AU ALTO (Flame),,,,,,
