Sample ID,Analyte Name,Reported Conc (Samp),,,,
Comp. Cabeza Columna,Au 242.80,0.096,,,,
Cabeza puntual retorno,Au 242.80,0.096,,,,
Celda #(F1+F2),Au 242.80,0.099,,,,
Puntual Noroeste,Au 242.80,0.096,,,,
Barren Patios,Au 242.80,0.015,,,,
Tubo 3,Au 242.80,0.080,,,,
Comp. Cola Columna,Au 242.80,0.012,,,,
Barren,Au 242.80,0.016,,,,
Celda # 11-A,Au 242.80,0.003,,,,
Celda # 11-B,Au 242.80,0.002,,,, 
Celda # 11-C,Au 242.80,0.009,,,,
Celda #5-9,Au 242.80,0.066,,,,
NE Tubo 1,Au 242.80,0.009,,,,
NE Tubo 2,Au 242.80,0.083,,,,
NE Tubo 4,Au 242.80,0.148,,,,
NE Tubo 5,Au 242.80,0.142,,,,
NE Tubo 6,Au 242.80,0.030,,,,
NE Tubo 7,Au 242.80,0.063,,,,
Especial 1,Au 242.80,0.069,,,,
Especial 2,Au 242.80,0.064,,,,
Especial 3,Au 242.80,0.015,,,,
Especial 4,Au 242.80,0.021,,,,
Especial 5,Au 242.80,0.082,,,,
Columna #1,Au 242.80,0.069,,,,
Columna #2,Au 242.80,0.047,,,,
Columna #3,Au 242.80,0.036,,,,
Columna #4,Au 242.80,0.024,,,,
Columna #5,Au 242.80,0.015,,,,
