Analyst,,,,,,
Date Started,5/1/2025 10:27 PM  GMT: 5/2/2025 5:27 AM,,,,,
Worksheet,LC004365_24,,,,,
Comment,,,,,,
Methods,"Au,Au",,,,,
,,,,,,
Method: Au (Flame),,,,,,
,,,,,,
5/1/2025,10:44:42 PM,PATRON,0.902,,mg/L,0.8
5/1/2025,10:44:56 PM,BLANCO,0.0006,,mg/L,>100
5/1/2025,10:45:06 PM,REAGENT BLANK,0,,mg/L,8.9
5/1/2025,10:45:18 PM,LC004365-001,0.0724,,mg/L,1.6
5/1/2025,10:45:32 PM,LC004365-002,0.4239,,mg/L,1.2
5/1/2025,10:45:46 PM,LC004365-003,0.2468,,mg/L,1
5/1/2025,10:46:00 PM,LC004365-004,0.1007,,mg/L,0.7
5/1/2025,10:46:12 PM,LC004365-005,0.071,,mg/L,3.1
5/1/2025,10:46:26 PM,LC004365-006,0.0047,,mg/L,45.2
5/1/2025,10:49:36 PM,PATRON,0.9147,,mg/L,0.8
5/1/2025,10:50:08 PM,LC004365-008,0.1799,,mg/L,1.2
5/1/2025,10:50:24 PM,LC004365-009,0.5618,,mg/L,0.6
5/1/2025,10:50:36 PM,LC004365-010,0.1214,,mg/L,1.6
5/1/2025,10:50:50 PM,LC004365-011,0.3762,,mg/L,1.2
5/1/2025,10:51:04 PM,LC004365-012,0.0045,,mg/L,18.9
5/1/2025,10:51:18 PM,PATRON,0.9038,,mg/L,0.5
5/1/2025,10:51:32 PM,LC004365-013,0.0027,,mg/L,65
5/1/2025,10:51:44 PM,LC004365-014,0.1564,,mg/L,1.5
5/1/2025,10:52:00 PM,LC004365-015,0.1002,,mg/L,2.5
5/1/2025,10:52:14 PM,LC004365-016,0.0678,,mg/L,1.6
5/1/2025,10:52:26 PM,LC004365-017,0.4704,,mg/L,0.6
5/1/2025,10:52:40 PM,PATRON,0.9035,,mg/L,1.2
5/1/2025,10:52:52 PM,BLANCO,0.0098,,mg/L,34.9
5/1/2025,10:53:00 PM,REAGENT BLANK,0,,mg/L,22.8
5/1/2025,10:55:12 PM,LC004365-007,0.1745,,mg/L,1.3
,,,,,,
Method: Au AU ALTO (Flame),,,,,,
