Analyst,,,,,,
Date Started,5/9/2025 6:43 AM  GMT: 5/9/2025 1:43 PM,,,,,
Worksheet,LC004426-RE_24,,,,,
Comment,,,,,,
Methods,"Au,Au",,,,,
,,,,,,
Method: Au (Flame),,,,,,
,,,,,,
5/9/2025,6:46:34 AM,PATRON,0.9034,,mg/L,0.8
5/9/2025,6:46:58 AM,REAGENT BLANK,0,,mg/L,20
5/9/2025,6:47:34 AM,BLANCO,0.0087,,mg/L,20.4
5/9/2025,6:47:52 AM,LC004419-003,0.154,,mg/L,0.4
5/9/2025,6:48:08 AM,PATRON,0.8886,,mg/L,1
5/9/2025,6:48:30 AM,REAGENT BLANK,0,,mg/L,62.4
5/9/2025,6:48:46 AM,BLANCO,0.0064,,mg/L,52.4
5/9/2025,6:48:46 AM,LC004155-005,,,mg/L,
,,,,,,
Method: Au AU ALTO (Flame),,,,,,
